token,symbol
amp,amp
aave,aave
ada,ada
algo,algo
ape,ape
ar,ar
atom,atom
audio,audio
avax,avax
axs,axs
bat,bat
bch,bch
bnb,bnb
bsv,bsv
btc,btc
btt,btt
busd,busd
cake,cake
celo,celo
chz,chz
comp,comp
cro,cro
crv,crv
dai,dai
dash,dash
dcr,dcr
doge,doge
dot,dot
egld,egld
enj,enj
eos,eos
eth,eth
fil,fil
flow,flow
ftm,ftm
gala,gala
gmt,gmt
grt,grt
hbar,hbar
hnt,hnt
hot,hot
ht,ht
icp,icp
icx,icx
kava,kava
kcs,kcs
knc,knc
ksm,ksm
leo,leo
link,link
lrc,lrc
ltc,ltc
luna,luna
mana,mana
matic,matic
miota,miota
mkr,mkr
near,near
neo,neo
nexo,nexo
qnt,qnt
qtum,qtum
rose,rose
rune,rune
sand,sand
shib,shib
sol,sol
stx,stx
theta,theta
trx,trx
tusd,tusd
uni,uni
usdc,usdc
usdt,usdt
ust,ust
vet,vet
waves,waves
wbtc,wbtc
xem,xem
xlm,xlm
xmr,xmr
xrp,xrp
xtz,xtz
zec,zec
zil,zil
bitcoin,btc
cardano,ada
litecoin,ltc
bitcoin sv,bsv
ethereum,eth
ethereum classic,etc
tron,trx
maker,mkr
iota,miota
tether,usdt
bitcoin cash,bch
nem,xem
stellar,xlm
chainlink,link
monero,xmr
zcash,zec
icon,icx
secret,scrt
loopring,lrc
wrapped bitcoin,wbtc
vechain,vet
tezos,xtz
cosmos,atom
terra,luna
algorand,algo
dogecoin,doge
polkadot,dot
uniswap,uni
enjin coin,enj
zilliqa,zil
compound,comp
avalanche,avax
fantom,ftm
harmony,one
polygon,matic
shiba inu,shib
solana,sol
thorchain,rune
elrond,egld
oasis network,rose
decentraland,mana
pancakeswap,cake
internet computer,icp
hedera,hbar
quant,qnt
chiliz,chz
stacks,stx
axie infinity,axs
usd coin,usdc
theta fuel,tfuel
arweave,ar
filecoin,fil
apecoin,ape
cronos,cro
terrausd,ust
audius,audio
moonbeam,glmr
kadena,kda
trueusd,tusd
kusama,ksm
theta network,theta
anchor protocol,anc
klaytn,klay
helium,hnt
decred,dcr
near protocol,near
holo,hot
ftx token,ftt
