,eval_metric,learning_rate,max_depth,min_child_weight,n_estimators,objective,predictor,random_state,reg_alpha,reg_lambda,tree_method,mse,mae,rmse,sym
0,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.05,0.1,gpu_hist,0.015904844037346447,0.11396613503735312,0.12611440852395275,XRP
1,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.05,0.1,gpu_hist,0.28806437749891245,0.5186661104361217,0.5367162914416819,XRP
2,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.29,0.1,gpu_hist,0.06954063739887063,0.2507996881667172,0.2637055884862333,SOL
3,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.29,0.1,gpu_hist,0.1992987723488926,0.42981190979480743,0.4464289107449165,SOL
4,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.005,0.01,gpu_hist,0.127015723368689,0.2830101026718631,0.35639265335959014,ADA
5,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.005,0.01,gpu_hist,0.10397055677054097,0.3222101459900538,0.32244465691113716,ADA
6,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.21,0.01,gpu_hist,0.02889510902539923,0.16224228161928783,0.16998561417190347,LTC
7,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.21,0.01,gpu_hist,0.1078912510271555,0.3178269252181053,0.32846803653804046,LTC
8,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.45,0.1,gpu_hist,0.04561712768389386,0.20618206951052248,0.21358166513980983,XLM
9,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.45,0.1,gpu_hist,0.06129059423722708,0.2475313241283099,0.24756937257509679,XLM
10,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.05,0.01,gpu_hist,0.0004895326457768432,0.017619291346602766,0.022125384646980564,USDT
11,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.05,0.01,gpu_hist,0.031168860069755135,0.17652914772431055,0.17654704775145671,USDT
