,index,high,low,open,close,conversionType,sym,date,tags,symbol,distil_joy_mean,distil_joy_sum_pop,avg_upvote_ratio,distil_anger_sum,gspc_open,gold,distil_love_wt_sum_hot,distil_surprise_sum_pop,vader_neg_sum,score_total,distil_sadness_mean_pop,vader_pos_sum,roberta_Negative_sum_pop,distil_fear_wt_sum,vader_neg_wt_sum_hot,distil_love_wt_sum_pop,btc_open,roberta_pos_vs_neg_mean_pop,vader_pos_wt_sum_pop,vader_compound_mean,vader_neg_sum_pop,vader_pos_mean_pop,distil_joy_mean_hot,distil_surprise_sum,ixic_open,roberta_Positive_mean_hot,amd_open,roberta_Positive_sum,volumefrom,distil_sadness_mean,vader_neu_wt_sum,distil_joy_wt_sum_hot,day_of_month,vader_compound_wt_sum,roberta_Positive_wt_sum_hot,retail_sales,daily_popularity_pop,vader_pos_wt_sum,roberta_Positive_wt_sum_pop,distil_love_sum_pop,distil_sadness_wt_sum_pop,vader_neg_mean_pop,distil_love_mean_pop,weight,weekday,distil_love_sum_hot,distil_anger_sum_pop,distil_fear_sum_hot,distil_anger_mean_hot,vader_pos_mean_hot,anger_vs_sadness_mean_pop,distil_fear_wt_sum_hot,roberta_Negative_wt_sum_hot,vader_neg_wt_sum,distil_fear_mean_pop,roberta_Negative_mean,distil_surprise_wt_sum_hot,roberta_Negative_wt_sum,joy_vs_fear_mean_pop,roberta_Neutral_sum,roberta_Negative_mean_pop,distil_sadness_sum,distil_sadness_sum_pop,distil_love_wt_sum,distil_sadness_mean_hot,distil_love_sum,vader_neg_mean_hot,distil_love_mean_hot,vader_neu_mean,ups,distil_surprise_mean_pop,vader_neg_sum_hot,roberta_Positive_sum_pop,daily_popularity,distil_love_mean,dji_open,distil_anger_wt_sum,distil_fear_wt_sum_pop,roberta_Negative_wt_sum_pop,distil_joy_wt_sum,distil_fear_mean_hot,nya_open,total_awards_received_total,SearchFrequency,roberta_Neutral_mean,distil_anger_wt_sum_pop,vader_pos_sum_hot,num_comments,roberta_Negative_sum_hot,downs,roberta_Positive_sum_hot,Unnamed: 0,roberta_Positive_mean_pop,vader_neg_wt_sum_pop,daily_popularity_hot,vader_pos_sum_pop,vader_pos_mean,distil_fear_mean,distil_joy_sum_hot,vader_neu_sum,distil_fear_sum_pop,distil_anger_mean_pop,roberta_Negative_sum,distil_anger_sum_hot,distil_anger_mean,vader_pos_wt_sum_hot,distil_surprise_mean_hot,vader_compound_sum,distil_surprise_sum_hot,distil_surprise_mean,distil_surprise_wt_sum_pop,volumeto,roberta_Positive_mean,distil_anger_wt_sum_hot,roberta_Positive_wt_sum,distil_joy_wt_sum_pop,distil_sadness_wt_sum,distil_surprise_wt_sum,distil_joy_sum,distil_fear_sum,roberta_Neutral_wt_sum,vader_neg_mean,distil_sadness_wt_sum_hot,anger_vs_joy_mean_pop,distil_sadness_sum_hot,nvda_open,roberta_Negative_mean_hot,distil_joy_mean_pop
0,1,0.6441,0.574,0.6417,0.5787,multiply,ALGO,2019-07-23,"[""pos"",""platform"",""research"",""smart-contracts"",""arrington-xrp-capital-portfolio"",""kenetic-capital-portfolio"",""usv-portfolio"",""multicoin-capital-portfolio"",""exnetwork-capital-portfolio""]",0,0.0,0.0,0.0,0.0,3006.0196899786447,1423.5236210304126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10069.510879293495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8269.514516105988,0.0,34.299947691325386,0.0,7238255.628456393,0.0,0.0,0.0,26.6508620689655,0.0,0.0,477497.1491101225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7162925135672644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27280.343624628906,0.0,0.0,0.0,0.0,0.0,13184.734524293892,0.0,1.0432332220986311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18019.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4105026.0851281187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.62062687046885,0.0,0.0
1,2,0.6268,0.5824,0.5787,0.5993,multiply,ALGO,2019-07-24,"[""pos"",""platform"",""research"",""smart-contracts"",""arrington-xrp-capital-portfolio"",""kenetic-capital-portfolio"",""usv-portfolio"",""multicoin-capital-portfolio"",""exnetwork-capital-portfolio""]",0,0.0,0.0,0.0,0.0,3009.5627782133192,1418.6370364529641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9934.998381532634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8276.41984695743,0.0,33.73387398397615,0.0,7878543.546916028,0.0,0.0,0.0,25.75738916256156,0.0,0.0,476286.96791673295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0144520848080383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27272.423108084575,0.0,0.0,0.0,0.0,0.0,13196.169833224978,0.0,1.3279146141215137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18020.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4702549.831502933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.77556175446135,0.0,0.0
2,3,0.6135,0.5819,0.5993,0.6102,multiply,ALGO,2019-07-25,"[""pos"",""platform"",""research"",""smart-contracts"",""arrington-xrp-capital-portfolio"",""kenetic-capital-portfolio"",""usv-portfolio"",""multicoin-capital-portfolio"",""exnetwork-capital-portfolio""]",0,0.0,0.0,0.0,0.0,3010.6172663991656,1415.5482148213773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9850.072328166994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8275.4108483038,0.0,33.2332805998472,0.0,8398251.631941779,0.0,0.0,0.0,24.718527640941417,0.0,0.0,474614.4496159755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2760718044366577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27248.46790862814,0.0,0.0,0.0,0.0,0.0,13197.327771457632,0.0,1.5639646638534321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18021.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5207248.289403337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.803133146709115,0.0,0.0
3,4,0.7303,0.6038,0.6102,0.6518,multiply,ALGO,2019-07-26,"[""pos"",""platform"",""research"",""smart-contracts"",""arrington-xrp-capital-portfolio"",""kenetic-capital-portfolio"",""usv-portfolio"",""multicoin-capital-portfolio"",""exnetwork-capital-portfolio""]",0,0.0,0.0,0.0,0.0,3009.419532702134,1414.1145260168269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9810.047743236568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8267.289188754461,0.0,32.794686310936044,0.0,8803387.361948425,0.0,0.0,0.0,23.55822386425833,0.0,0.0,472531.1696620584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50310155691135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27210.055311740747,0.0,0.0,0.0,0.0,0.0,13189.168007411023,0.0,1.7553898805845445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18022.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5623237.170895366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.716610463078354,0.0,0.0
4,5,0.6248,0.5743,0.6518,0.5784,multiply,ALGO,2019-07-27,"[""pos"",""platform"",""research"",""smart-contracts"",""arrington-xrp-capital-portfolio"",""kenetic-capital-portfolio"",""usv-portfolio"",""multicoin-capital-portfolio"",""exnetwork-capital-portfolio""]",0,0.0,0.0,0.0,0.0,3006.2059552881756,1414.1933399204877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9810.239650781346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8252.85653691878,0.0,32.41460988924024,0.0,9099958.215350743,0.0,0.0,0.0,22.300424192665556,0.0,0.0,470088.7035091901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.697491226690342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27158.76260290354,0.0,0.0,0.0,0.0,0.0,13172.650209504323,0.0,1.906196773605008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5954632.188045053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52926311943529,0.0,0.0
5,6,0.6043,0.5728,0.5784,0.576,multiply,ALGO,2019-07-28,"[""pos"",""platform"",""research"",""smart-contracts"",""arrington-xrp-capital-portfolio"",""kenetic-capital-portfolio"",""usv-portfolio"",""multicoin-capital-portfolio"",""exnetwork-capital-portfolio""]",0,0.0,0.0,0.0,0.0,3001.2129123232407,1415.6420264135343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9845.963074841322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8232.91456140612,0.0,32.089570106757314,0.0,9293971.670563519,0.0,0.0,0.0,20.96907498631635,0.0,0.0,467338.626611579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8611906982318605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27096.167067597664,0.0,0.0,0.0,0.0,0.0,13148.734046156702,0.0,2.0203918522049813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6205549.052918434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.25436053164614,0.0,0.0
6,7,0.5926,0.5591,0.576,0.5707,multiply,ALGO,2019-07-29,"[""pos"",""platform"",""research"",""smart-contracts"",""arrington-xrp-capital-portfolio"",""kenetic-capital-portfolio"",""usv-portfolio"",""multicoin-capital-portfolio"",""exnetwork-capital-portfolio""]",0,0.0,0.0,0.0,0.0,2994.676781973281,1418.3179553771417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9912.533039456486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8208.264930825844,0.0,31.816085735484812,0.0,9391435.206001524,0.0,0.0,0.0,19.58812260536397,0.0,0.0,464332.51442343346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9961498559941333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27023.845991304268,0.0,0.0,0.0,0.0,0.0,13118.379185787331,0.0,2.1019816256746213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18025.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6380103.477581544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.90517211557713,0.0,0.0
7,8,0.5875,0.5567,0.5707,0.5674,multiply,ALGO,2019-07-30,"[""pos"",""platform"",""research"",""smart-contracts"",""arrington-xrp-capital-portfolio"",""kenetic-capital-portfolio"",""usv-portfolio"",""multicoin-capital-portfolio"",""exnetwork-capital-portfolio""]",0,0.0,0.0,0.0,0.0,2986.8339424042465,1422.0784966924844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10005.264568666833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8179.709313787318,0.0,31.590675547420272,0.0,9398356.30007954,0.0,0.0,0.0,18.181513409961678,0.0,0.0,461121.9423989618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1043185844353873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26943.376659504494,0.0,0.0,0.0,0.0,0.0,13082.54529681538,0.0,2.1549726033040866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18026.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6482411.174100418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.494967287094475,0.0,0.0
8,9,0.5946,0.5603,0.5674,0.5673,multiply,ALGO,2019-07-31,"[""pos"",""platform"",""research"",""smart-contracts"",""arrington-xrp-capital-portfolio"",""kenetic-capital-portfolio"",""usv-portfolio"",""multicoin-capital-portfolio"",""exnetwork-capital-portfolio""]",0,0.0,0.0,0.0,0.0,2977.920771782088,1426.7810202407372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10119.472686512352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8148.049378899906,0.0,31.409858314561234,0.0,9320742.431212347,0.0,0.0,0.0,16.773193760262718,0.0,0.0,457758.4859923725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.187646768013849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26856.33635767949,0.0,0.0,0.0,0.0,0.0,13042.19204766002,0.0,2.183371294383534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18027.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6516587.85454109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.03701546206439,0.0,0.0
9,10,0.5751,0.5096,0.5673,0.5623,multiply,ALGO,2019-08-01,"[""pos"",""platform"",""research"",""smart-contracts"",""arrington-xrp-capital-portfolio"",""kenetic-capital-portfolio"",""usv-portfolio"",""multicoin-capital-portfolio"",""exnetwork-capital-portfolio""]",0,0.0,0.0,0.0,0.0,2968.173648272757,1432.2828959030749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10250.472417033037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8114.08679477297,0.0,31.270152808905237,0.0,9164601.077814724,0.0,0.0,0.0,15.387110016420358,0.0,0.0,454293.72065787384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2480842911877463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26764.302371310398,0.0,0.0,0.0,0.0,0.0,12998.279106740423,0.0,2.191184208203122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18028.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6486749.230969597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.544586056353104,0.0,0.0
