,index,high,low,open,close,conversionType,sym,date,tags,symbol,distil_joy_mean,distil_joy_sum_pop,avg_upvote_ratio,distil_anger_sum,gspc_open,gold,distil_love_wt_sum_hot,distil_surprise_sum_pop,vader_neg_sum,score_total,distil_sadness_mean_pop,vader_pos_sum,roberta_Negative_sum_pop,distil_fear_wt_sum,vader_neg_wt_sum_hot,distil_love_wt_sum_pop,btc_open,roberta_pos_vs_neg_mean_pop,vader_pos_wt_sum_pop,vader_compound_mean,vader_neg_sum_pop,vader_pos_mean_pop,distil_joy_mean_hot,distil_surprise_sum,ixic_open,roberta_Positive_mean_hot,amd_open,roberta_Positive_sum,volumefrom,distil_sadness_mean,vader_neu_wt_sum,distil_joy_wt_sum_hot,day_of_month,vader_compound_wt_sum,roberta_Positive_wt_sum_hot,retail_sales,daily_popularity_pop,vader_pos_wt_sum,roberta_Positive_wt_sum_pop,distil_love_sum_pop,distil_sadness_wt_sum_pop,vader_neg_mean_pop,distil_love_mean_pop,weight,weekday,distil_love_sum_hot,distil_anger_sum_pop,distil_fear_sum_hot,distil_anger_mean_hot,vader_pos_mean_hot,anger_vs_sadness_mean_pop,distil_fear_wt_sum_hot,roberta_Negative_wt_sum_hot,vader_neg_wt_sum,distil_fear_mean_pop,roberta_Negative_mean,distil_surprise_wt_sum_hot,roberta_Negative_wt_sum,joy_vs_fear_mean_pop,roberta_Neutral_sum,roberta_Negative_mean_pop,distil_sadness_sum,distil_sadness_sum_pop,distil_love_wt_sum,distil_sadness_mean_hot,distil_love_sum,vader_neg_mean_hot,distil_love_mean_hot,vader_neu_mean,ups,distil_surprise_mean_pop,vader_neg_sum_hot,roberta_Positive_sum_pop,daily_popularity,distil_love_mean,dji_open,distil_anger_wt_sum,distil_fear_wt_sum_pop,roberta_Negative_wt_sum_pop,distil_joy_wt_sum,distil_fear_mean_hot,nya_open,total_awards_received_total,SearchFrequency,roberta_Neutral_mean,distil_anger_wt_sum_pop,vader_pos_sum_hot,num_comments,roberta_Negative_sum_hot,downs,roberta_Positive_sum_hot,Unnamed: 0,roberta_Positive_mean_pop,vader_neg_wt_sum_pop,daily_popularity_hot,vader_pos_sum_pop,vader_pos_mean,distil_fear_mean,distil_joy_sum_hot,vader_neu_sum,distil_fear_sum_pop,distil_anger_mean_pop,roberta_Negative_sum,distil_anger_sum_hot,distil_anger_mean,vader_pos_wt_sum_hot,distil_surprise_mean_hot,vader_compound_sum,distil_surprise_sum_hot,distil_surprise_mean,distil_surprise_wt_sum_pop,volumeto,roberta_Positive_mean,distil_anger_wt_sum_hot,roberta_Positive_wt_sum,distil_joy_wt_sum_pop,distil_sadness_wt_sum,distil_surprise_wt_sum,distil_joy_sum,distil_fear_sum,roberta_Neutral_wt_sum,vader_neg_mean,distil_sadness_wt_sum_hot,anger_vs_joy_mean_pop,distil_sadness_sum_hot,nvda_open,roberta_Negative_mean_hot,distil_joy_mean_pop
0,545,14.45,12.34,12.84,13.18,multiply,AVAX,2021-01-17,"[""defi"",""smart-contracts"",""polychain-capital-portfolio"",""avalanche-ecosystem"",""cms-holdings-portfolio"",""dragonfly-capital-portfolio"",""moonriver-ecosystem"",""injective-ecosystem"",""bnb-chain""]",0,0.0,0.0,0.0,0.0,3822.784917940291,1829.9890253883866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36087.899066963146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13300.18777400383,0.0,92.57727341992222,0.0,806746.0171763136,0.0,0.0,0.0,18.807812499999397,0.0,0.0,440018.9999999861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.999999999999905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31095.939355031784,0.0,0.0,0.0,0.0,0.0,15051.51236354235,0.0,67.96093749999785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7552.499999999758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8995678.61987248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.16078916957974,0.0,0.0
1,546,14.06,12.65,13.18,12.7,multiply,AVAX,2021-01-18,"[""defi"",""smart-contracts"",""polychain-capital-portfolio"",""avalanche-ecosystem"",""cms-holdings-portfolio"",""dragonfly-capital-portfolio"",""moonriver-ecosystem"",""injective-ecosystem"",""bnb-chain""]",0,0.0,0.0,0.0,0.0,3823.650927189297,1828.7427978787516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35655.98194642743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13327.950577217769,0.0,92.36195658615364,0.0,807207.4329129207,0.0,0.0,0.0,20.631249999999344,0.0,0.0,434622.6281249862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289062499999895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31082.40546438935,0.0,0.0,0.0,0.0,0.0,15039.81987021262,0.0,69.77410714285493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7553.499999999759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9327859.125673812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.02944292340533,0.0,0.0
2,547,12.91,11.38,12.7,11.75,multiply,AVAX,2021-01-19,"[""defi"",""smart-contracts"",""polychain-capital-portfolio"",""avalanche-ecosystem"",""cms-holdings-portfolio"",""dragonfly-capital-portfolio"",""moonriver-ecosystem"",""injective-ecosystem"",""bnb-chain""]",0,0.0,0.0,0.0,0.0,3821.9779994963387,1829.5163653509373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35120.09352008816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13349.129753548334,0.0,92.1007379225293,0.0,787979.4260758678,0.0,0.0,0.0,22.004910714285018,0.0,0.0,431224.9124999863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.204687499999898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31040.443055942083,0.0,0.0,0.0,0.0,0.0,15013.3449700487,0.0,71.38861607142633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7554.499999999759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9309704.538582291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.7797702993623,0.0,0.0
3,548,13.13,11.47,11.75,12.39,multiply,AVAX,2021-01-20,"[""defi"",""smart-contracts"",""polychain-capital-portfolio"",""avalanche-ecosystem"",""cms-holdings-portfolio"",""dragonfly-capital-portfolio"",""moonriver-ecosystem"",""injective-ecosystem"",""bnb-chain""]",0,0.0,0.0,0.0,0.0,3816.763842337351,1832.7827718461679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34406.69658705249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13357.810632541778,0.0,91.81945874350117,0.0,745243.5073013158,0.0,0.0,0.0,22.963392857142125,0.0,0.0,429683.0919642721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.073437499999902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30967.336421856573,0.0,0.0,0.0,0.0,0.0,14965.960750034401,0.0,72.76763392856913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7555.499999999759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8960715.291626947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.58728979995843,0.0,0.0
4,549,12.19,10.74,12.39,11.34,multiply,AVAX,2021-01-21,"[""defi"",""smart-contracts"",""polychain-capital-portfolio"",""avalanche-ecosystem"",""cms-holdings-portfolio"",""dragonfly-capital-portfolio"",""moonriver-ecosystem"",""injective-ecosystem"",""bnb-chain""]",0,0.0,0.0,0.0,0.0,3809.5291643958917,1839.4723451886273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33827.5215714275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13356.282317460864,0.0,91.47514632258806,0.0,724412.8900401555,0.0,0.0,0.0,23.5412946428564,0.0,0.0,429854.40535712923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.926562499999907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30877.502733066118,0.0,0.0,0.0,0.0,0.0,14917.666446576324,0.0,73.87433035714052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7556.49999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8598807.667765347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.3777030195466,0.0,0.0
5,550,13.17,11.87,11.34,12.74,multiply,AVAX,2021-01-22,"[""defi"",""smart-contracts"",""polychain-capital-portfolio"",""avalanche-ecosystem"",""cms-holdings-portfolio"",""dragonfly-capital-portfolio"",""moonriver-ecosystem"",""injective-ecosystem"",""bnb-chain""]",0,0.0,0.0,0.0,0.0,3804.4356428417627,1844.4325429370838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33363.39483705251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13359.241341726696,0.0,91.06395909445338,0.0,703909.3114486383,0.0,0.0,0.0,23.773214285713532,0.0,0.0,431596.0915178434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.795312499999911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30812.03714599511,0.0,0.0,0.0,0.0,0.0,14879.051433235785,0.0,74.67187499999764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7557.499999999761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8346286.929426071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.05672022274138,0.0,0.0
6,551,13.29,12.39,12.74,12.89,multiply,AVAX,2021-01-23,"[""defi"",""smart-contracts"",""polychain-capital-portfolio"",""avalanche-ecosystem"",""cms-holdings-portfolio"",""dragonfly-capital-portfolio"",""moonriver-ecosystem"",""injective-ecosystem"",""bnb-chain""]",0,0.0,0.0,0.0,0.0,3802.9338493345954,1849.4583897998764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33086.85288392751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13380.875723484161,0.0,90.88494829790643,0.0,653007.6321852471,0.0,0.0,0.0,23.693749999999255,0.0,0.0,434765.38928570045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710937499999913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30763.564781405963,0.0,0.0,0.0,0.0,0.0,14851.228812952928,0.0,74.15312499999764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7558.49999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6782068.664089064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.95753427232592,0.0,0.0
7,552,13.19,12.41,12.89,12.5,multiply,AVAX,2021-01-24,"[""defi"",""smart-contracts"",""polychain-capital-portfolio"",""avalanche-ecosystem"",""cms-holdings-portfolio"",""dragonfly-capital-portfolio"",""moonriver-ecosystem"",""injective-ecosystem"",""bnb-chain""]",0,0.0,0.0,0.0,0.0,3802.1116727010326,1850.465487371113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33028.54869419537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13401.395616149477,0.0,90.63559128386345,0.0,562468.7729106961,0.0,0.0,0.0,23.337499999999267,0.0,0.0,439219.537499986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.999999999999905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30721.65093906849,0.0,0.0,0.0,0.0,0.0,14819.320708356112,0.0,73.61093749999766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7559.49999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3780673.1370936166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.9425811154459,0.0,0.0
8,553,12.71,11.75,12.5,12.19,multiply,AVAX,2021-01-25,"[""defi"",""smart-contracts"",""polychain-capital-portfolio"",""avalanche-ecosystem"",""cms-holdings-portfolio"",""dragonfly-capital-portfolio"",""moonriver-ecosystem"",""injective-ecosystem"",""bnb-chain""]",0,0.0,0.0,0.0,0.0,3801.616587720477,1849.8235018048376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32775.3397321418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13423.25545719649,0.0,90.2746002231297,0.0,592925.2209084629,0.0,0.0,0.0,22.73906249999928,0.0,0.0,444815.7749999858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289062499999895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30681.270147268133,0.0,0.0,0.0,0.0,0.0,14783.288635689401,0.0,74.22031249999765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7560.49999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4574728.458142701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.725867114744,0.0,0.0
9,554,12.81,11.86,12.19,12.2,multiply,AVAX,2021-01-26,"[""defi"",""smart-contracts"",""polychain-capital-portfolio"",""avalanche-ecosystem"",""cms-holdings-portfolio"",""dragonfly-capital-portfolio"",""moonriver-ecosystem"",""injective-ecosystem"",""bnb-chain""]",0,0.0,0.0,0.0,0.0,3801.9494886669586,1848.9942863736244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32660.229852677534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13441.846451677167,0.0,89.98178100074755,0.0,483316.53296650184,0.0,0.0,0.0,21.933035714285015,0.0,0.0,451411.3406249856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.204687499999898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30649.103474207313,0.0,0.0,0.0,0.0,0.0,14751.1896525787,0.0,75.05624999999762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7561.499999999758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3484189.506196347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.60694860730428,0.0,0.0
