,index,high,low,open,close,conversionType,sym,date,tags,symbol,distil_joy_mean,distil_joy_sum_pop,avg_upvote_ratio,distil_anger_sum,gspc_open,gold,distil_love_wt_sum_hot,distil_surprise_sum_pop,vader_neg_sum,score_total,distil_sadness_mean_pop,vader_pos_sum,roberta_Negative_sum_pop,distil_fear_wt_sum,vader_neg_wt_sum_hot,distil_love_wt_sum_pop,btc_open,roberta_pos_vs_neg_mean_pop,vader_pos_wt_sum_pop,vader_compound_mean,vader_neg_sum_pop,vader_pos_mean_pop,distil_joy_mean_hot,distil_surprise_sum,ixic_open,roberta_Positive_mean_hot,amd_open,roberta_Positive_sum,volumefrom,distil_sadness_mean,vader_neu_wt_sum,distil_joy_wt_sum_hot,day_of_month,vader_compound_wt_sum,roberta_Positive_wt_sum_hot,retail_sales,daily_popularity_pop,vader_pos_wt_sum,roberta_Positive_wt_sum_pop,distil_love_sum_pop,distil_sadness_wt_sum_pop,vader_neg_mean_pop,distil_love_mean_pop,weight,weekday,distil_love_sum_hot,distil_anger_sum_pop,distil_fear_sum_hot,distil_anger_mean_hot,vader_pos_mean_hot,anger_vs_sadness_mean_pop,distil_fear_wt_sum_hot,roberta_Negative_wt_sum_hot,vader_neg_wt_sum,distil_fear_mean_pop,roberta_Negative_mean,distil_surprise_wt_sum_hot,roberta_Negative_wt_sum,joy_vs_fear_mean_pop,roberta_Neutral_sum,roberta_Negative_mean_pop,distil_sadness_sum,distil_sadness_sum_pop,distil_love_wt_sum,distil_sadness_mean_hot,distil_love_sum,vader_neg_mean_hot,distil_love_mean_hot,vader_neu_mean,ups,distil_surprise_mean_pop,vader_neg_sum_hot,roberta_Positive_sum_pop,daily_popularity,distil_love_mean,dji_open,distil_anger_wt_sum,distil_fear_wt_sum_pop,roberta_Negative_wt_sum_pop,distil_joy_wt_sum,distil_fear_mean_hot,nya_open,total_awards_received_total,SearchFrequency,roberta_Neutral_mean,distil_anger_wt_sum_pop,vader_pos_sum_hot,num_comments,roberta_Negative_sum_hot,downs,roberta_Positive_sum_hot,Unnamed: 0,roberta_Positive_mean_pop,vader_neg_wt_sum_pop,daily_popularity_hot,vader_pos_sum_pop,vader_pos_mean,distil_fear_mean,distil_joy_sum_hot,vader_neu_sum,distil_fear_sum_pop,distil_anger_mean_pop,roberta_Negative_sum,distil_anger_sum_hot,distil_anger_mean,vader_pos_wt_sum_hot,distil_surprise_mean_hot,vader_compound_sum,distil_surprise_sum_hot,distil_surprise_mean,distil_surprise_wt_sum_pop,volumeto,roberta_Positive_mean,distil_anger_wt_sum_hot,roberta_Positive_wt_sum,distil_joy_wt_sum_pop,distil_sadness_wt_sum,distil_surprise_wt_sum,distil_joy_sum,distil_fear_sum,roberta_Neutral_wt_sum,vader_neg_mean,distil_sadness_wt_sum_hot,anger_vs_joy_mean_pop,distil_sadness_sum_hot,nvda_open,roberta_Negative_mean_hot,distil_joy_mean_pop
0,1,91.06,88.35,95.19,90.11,multiply,LTC,2019-07-23,"[""mineable"",""pow"",""scrypt"",""medium-of-exchange"",""binance-chain"",""bnb-chain""]",0,0.010603360636397394,0.007925916843630965,0.08844148211817855,-0.04619046078133854,3006.0196899786447,1423.5236210304126,0.13667650579785356,0.0005477340142245621,0.0,37.768479286749795,0.0016646635992854045,-0.09832642329861455,0.0054980255839822325,67.70025970607064,0.0,0.10289233384612342,10069.510879293495,0.007293285468702611,0.42279521948363646,-0.01344868540802913,0.0,0.005467362726261502,-0.0004433292884349784,0.0015470843024235756,8269.514516105988,-0.00029516297569694367,34.299947691325386,0.012612305760609802,3656819.6366730602,0.0061028263727374195,93.94984326018835,0.4741436817381127,26.6508620689655,-1.2482295311289655,0.4252210844587613,477497.1491101225,5.857434465062226,-2.7206239255740154,0.41431850355601385,0.0007613939731014256,0.2264967820766766,0.0,0.0004072437388343963,0.01724475005898883,1.7162925135672644,-0.0003815164998146111,0.01952500084268716,-0.0010679846293862585,-0.0028738118111032765,-0.003048717430141329,0.008989045909596535,0.8528908005128841,0.22280219353326566,0.0,0.007979166245323095,0.006078358951023058,0.16391817755279064,9.81366431304145,-0.004264121751440999,0.0092645886001285,0.0026674807024640226,0.003563006033640131,0.0036055794316917863,2.0287505797687664,-0.0001983222098628176,0.0005434481073246439,0.0,-5.5940944483771205e-05,0.10634552533117636,37.768479286749795,0.00024881433916472824,0.0,0.019908033336704045,91.22921933461441,0.0009294830956955566,27280.343624628906,-16.34672413793082,0.5147228819515255,0.2301828778921982,26.98745899315736,0.0019772348063504413,13184.734524293892,-0.11589982135032083,18.38544679273267,0.036541342232109864,0.33738078269773336,-0.013746175885664293,54.44729076077792,-0.004026567398119135,0.0,-0.01132812299861796,17017.999999999993,0.009960766171166646,0.0,1.2167129537870187,0.016728555297131475,-0.029366053190413695,0.041602925809822375,-0.004294270569993597,0.11557117335760335,0.018153194627026713,0.010653709508881956,-0.004664641689419168,-0.021798499174166555,0.016600259547645685,-0.027059763740702125,-1.302120200896721e-05,-0.045131828294064175,-0.0002042951764586956,0.0013770603701082002,0.09692718698542985,335015734.9876777,0.03440668250918537,-0.07196105482017384,38.576372565476824,0.30505823269102117,8.232739873428372,2.6269529215963825,0.002886226278356491,0.05488042100650546,42.83911915343651,0.0,0.23252576565689292,0.006938665014999848,-0.0018444230963697169,43.62062687046885,-0.0003786109144841136,0.0037150444938820943
1,2,95.72,88.07,90.11,94.52,multiply,LTC,2019-07-24,"[""mineable"",""pow"",""scrypt"",""medium-of-exchange"",""binance-chain"",""bnb-chain""]",LTC,0.015618738473243526,0.010575540162470073,0.10237701293885952,0.04628443917965702,3009.5627782133192,1418.6370364529641,0.10712773787703458,0.0007887792593020647,0.0,48.935354819448406,0.002108661620174415,-0.06658119411178368,0.0076511520737327435,54.21204248780501,0.0,0.12325655129620494,9934.998381532634,0.008912794158011071,0.49779932852879627,-0.01046316036577439,0.0,0.005858638024933907,-0.0004365251915307652,0.0024213060206386187,8276.41984695743,0.000516398932917253,33.73387398397615,0.06934206862844275,3426018.299777501,0.008667335278736862,101.55361657252664,0.39149162699337636,25.75738916256156,-3.280560519384298,0.4466969939164298,476286.96791673295,6.742830964419367,-7.150300478164893,0.5563085392522028,0.0010152023171489236,0.27340299452737976,0.0,0.00046853839523472527,0.15345670273367779,2.0144520848080383,-0.00027429418931087667,0.02849211437431681,-0.0017913424728775683,-0.0004176754835820756,-0.004553733826425787,0.011219104921774557,0.6598502392950365,0.2140104481386299,0.0,0.009184172168209988,0.010738585682022865,0.12839398950288633,10.098530540668099,-0.004774804616962569,0.07175861515199702,0.0031941228589726957,0.012686682412878226,0.0050646735911474535,1.6496250470700968,-2.7000900471429334e-05,0.0019458739628928792,0.0,-3.849370873842611e-05,0.13672318882452392,48.935354819448406,0.0003057300319258046,0.0,0.027519378193182367,94.40331609436184,0.0013031829497902935,27272.423108084575,6.289223859844434,0.6224316779424013,0.3033274933480131,22.713058085944432,0.0010177831067708287,13196.169833224978,-0.04592307951595953,18.043876794321733,0.05313803697229735,0.47651953950419274,-0.013942223442112267,44.39262504273623,-0.0025375193216127688,0.0,-0.005947951307128135,17018.999999999993,0.012106917016983777,0.0,2.1474541705791172,0.021450750232340866,-0.02283401903991459,0.04344689024360881,-0.0031608412907078035,0.22003789684546132,0.023279278081947755,0.013327766541948987,0.01237545878296717,-0.010516983276271336,0.04340770432755989,-0.21952079806495606,-5.054196822829229e-06,-0.03056076809730877,-0.00018074628374962462,0.0015832635106828642,0.11959727302636448,317685400.51808965,0.050026769041118385,0.1114831706944848,41.41513717406064,0.3878612080607573,7.41889157336914,2.1206385192301163,0.020890464392856016,0.06920191458522928,42.88963778705538,0.0,0.20575824280097488,0.00891839899070156,-0.0009553688802854687,43.77556175446135,-0.00022665997332293656,0.004409367551247418
2,3,95.67,91.37,94.52,93.26,multiply,LTC,2019-07-25,"[""mineable"",""pow"",""scrypt"",""medium-of-exchange"",""binance-chain"",""bnb-chain""]",0,0.021131278995795172,0.013819438171106677,0.11942082732082739,0.1347073049473503,3010.6172663991656,1415.5482148213773,0.09156344886318935,0.0010659862837282211,0.0,60.82135997936898,0.0026183988034377383,-0.030256160845704885,0.0102697273866907,43.489435585046806,0.0,0.14823576981302636,9850.072328166994,0.010791363339416733,0.598478529921509,-0.0063506034442630775,0.0,0.00690165198785888,2.189167483938664e-05,0.003424461950935816,8275.4108483038,0.002127793481186111,33.2332805998472,0.1262499367048314,3240986.882548098,0.011276311181094293,110.40767278698323,0.35515389263071373,24.718527640941417,-4.264096596560519,0.5296657002085815,474614.4496159755,8.574151111705028,-9.29402398367926,0.7330869247906482,0.001316734242151371,0.3326551472996645,0.0,0.0005452387105334829,0.2913240675198412,2.2760718044366577,-8.49803720771483e-05,0.03901268129143544,-0.00029173733200433963,0.0026137503270428466,-0.004882941871707237,0.013810569784930182,0.538721156998441,0.24253834078533582,0.0,0.010758229923580307,0.015555914647293985,0.10699453329452771,10.851541081748156,-0.005442449603294983,0.1354406201963491,0.0038787277938557158,0.021836827462077765,0.006727033323863134,1.3642652956280314,0.000286545603286421,0.0034356206003035867,0.0,1.2364066535367228e-05,0.16555220599447543,60.82135997936898,0.0003793511950909053,0.0,0.03644494109482979,101.11364880330407,0.0017208372993133855,27248.46790862814,28.075763379063275,0.7509144308535207,0.39480879143266134,19.51810112813068,0.0009579093814354855,13197.327771457632,0.016982580720067697,17.835698689313816,0.07039367668956109,0.6623871207359322,-0.011554095111825959,37.20922234153597,-0.0003774813926649386,0.0,0.0014442351637568938,17019.99999999999,0.014670091133272459,0.0,4.259157503366703,0.028043498922698,-0.013846045389538274,0.04705748383779526,-0.000957840628863978,0.3215802283655459,0.029400583166267286,0.01642896858836793,0.029694747865326318,0.0021938577201647755,0.06874402304736026,-0.3260141276692896,3.2681066718886296e-05,-0.01388757782817858,-7.285704655004237e-05,0.001839135033795766,0.14640581957157067,303732029.42805374,0.06574281128997486,0.34535993313600755,45.49021399181707,0.4866904302167916,6.945441342205335,1.7207596714269076,0.03998384884386004,0.08790223068654647,44.77192544286553,0.0,0.2067791346216382,0.0111131882680826,0.00027754904840553976,43.803133146709115,0.00020647547566345997,0.005315780320285325
3,4,94.62,91.93,93.26,94.22,multiply,LTC,2019-07-26,"[""mineable"",""pow"",""scrypt"",""medium-of-exchange"",""binance-chain"",""bnb-chain""]",0,0.027034436584714716,0.017564518282566093,0.1390634553330327,0.21874940238766796,3009.419532702134,1414.1145260168269,0.08851053091729344,0.0013729876496839802,0.0,73.21091338727607,0.0031822104861315118,0.00986357296145933,0.013280228472553295,35.3003245758607,0.0,0.17709897142043984,9810.047743236568,0.012884337615789226,0.7210962352557966,-0.0012662137423817173,0.0,0.008515579680485124,0.0008763381337074276,0.004533910961942113,8267.289188754461,0.004433032627776763,32.794686310936044,0.18281911429834158,3097882.090448123,0.013901028278976013,120.24326211422988,0.3600871924950914,23.55822386425833,-4.3075882663972855,0.66616867989716,472531.1696620584,11.234182546945718,-9.388826891190721,0.939325985949369,0.001658029163396236,0.40237128026878743,0.0,0.0006350141865714726,0.42946858275000716,2.50310155691135,0.0001754765730294075,0.05082702567279872,0.0031667916251341957,0.006126730718916454,-0.004164913623228481,0.016701428555377377,0.48229354190155915,0.30378873244347276,0.0,0.012647264276324332,0.02046963210953759,0.09828037993589721,12.007976727134158,-0.006243880004558528,0.19963026353101462,0.004698151572400739,0.030932147618994127,0.008555899211405326,1.1641166893523394,0.0007232323098563319,0.004990395667036384,0.0,9.235855295365803e-05,0.19272583927628445,73.21091338727607,0.00046721156423603516,0.0,0.046464372457559244,110.85443522303927,0.0021737772341776807,27210.055311740747,48.89484203126939,0.8967433817797454,0.5018283208446908,17.301684076034952,0.001696194826061312,13189.168007411023,0.0730268948288979,17.746858796664135,0.08807852051956619,0.8883039505719413,-0.00689212261392463,32.61856705997412,0.002357894373578459,0.0,0.010552645261877781,17020.99999999999,0.01758248918818997,0.0,7.39397242097597,0.03623799212261389,-0.0027406143911706815,0.05220430983654004,0.002173489556832173,0.4196050097885475,0.03635415431394298,0.019883639041508895,0.04711285773407578,0.01605435045941169,0.09254407645767508,-0.3551578982163529,9.645242081282132e-05,0.0045273799893098265,0.00010886001280884135,0.002136828117501085,0.17666094449087433,292851151.95098305,0.08139977541718371,0.6216038254880424,50.604572451673846,0.5989223435045696,6.775303892505731,1.4182441589607548,0.05987913192254134,0.11034502346415567,48.2419504409795,0.0,0.23235053441641146,0.013480254769743093,0.001804159905105383,43.716610463078354,0.000884883382797731,0.006403384271765804
4,5,90.89,87.26,94.22,88.74,multiply,LTC,2019-07-27,"[""mineable"",""pow"",""scrypt"",""medium-of-exchange"",""binance-chain"",""bnb-chain""]",0,0.033221665620664545,0.02171768790987365,0.16079542704442598,0.2980819973665365,3006.2059552881756,1414.1933399204877,0.09649587620032238,0.0017034159193502919,0.0,85.88843366393425,0.0037884320053118733,0.05299290377154649,0.01660913228101772,29.412595038311338,0.0,0.20911513814229765,9810.239650781346,0.01514706158999818,0.8619158561256812,0.004634809640983152,0.0,0.010619596168261343,0.0020712310081053087,0.0057270119222844525,8252.85653691878,0.007326128331356339,32.41460988924024,0.23853280571753913,2992860.628940848,0.016512760771548323,130.7916347649384,0.40124824043147544,22.300424192665556,-3.5197860326342565,0.8482474095441095,470088.7035091901,14.605712910167957,-7.6717416497728825,1.169698048506384,0.002031126496170988,0.48066943331000533,0.0,0.0007355343251894974,0.5665119867567037,2.697491226690342,0.0004961282671516244,0.06367547159716232,0.008320205230438797,0.010027530790183713,-0.0025282211382323186,0.01982966928943012,0.4833573822828522,0.39316448408313,0.0,0.014797199991332343,0.025419024331454838,0.10081210043517726,13.503118267678644,-0.007155919114873499,0.26364720495382366,0.005629250259895422,0.03989134932138269,0.010514511835340527,1.0406245921527892,0.0012639742276839006,0.0065879068105708875,0.0,0.00019721592213249565,0.21813735110520446,85.88843366393425,0.000566844874937199,0.0,0.057357322697283664,123.11989311516567,0.0026533338442960262,27158.76260290354,68.62840742800648,1.0564907718159373,0.6215876302826489,15.962902885976085,0.0031312206363652106,13172.650209504323,0.1224195982816681,17.763303435327906,0.10596282759797782,1.1475904531912096,-0.00026663766752754725,30.342143600847642,0.005572955961971529,0.0,0.0210814878350752,17021.999999999993,0.020776311849893606,0.0,11.39404839223311,0.045765420586499524,0.010143791803302257,0.05865697148400145,0.006091907407674944,0.5135190829851568,0.04397703595893252,0.023618101294741997,0.06444942056563305,0.03078482158573933,0.11474272530913261,-0.3155702553687961,0.00018252769765561786,0.024323742831139847,0.000353892371995817,0.002468495939853001,0.2096707656541015,284738298.3202905,0.09684262758417378,0.9321494407342373,56.561181986558665,0.7219333922695373,6.871393936839097,1.2040197626056575,0.08028906592007268,0.1358939470717556,53.055681101509784,0.0,0.2792345354828233,0.015976820418283154,0.003574292905216135,43.52926311943529,0.0017726516984025325,0.007641280876458848
5,6,90.39,87.25,88.74,89.76,multiply,LTC,2019-07-28,"[""mineable"",""pow"",""scrypt"",""medium-of-exchange"",""binance-chain"",""bnb-chain""]",0,0.03958642048430706,0.026185854466054665,0.18410727252395775,0.3723763557498827,3001.2129123232407,1415.6420264135343,0.11404637687325167,0.0020509036549081054,0.0,98.63833943010808,0.004425398698034962,0.09834672804639406,0.02018291576178118,25.594132550463414,0.0,0.24355325200245193,9845.963074841322,0.017534879864913228,1.0172008041251848,0.011197267606945015,0.0,0.013132876516636242,0.003550987121064981,0.006981123700589779,8232.91456140612,0.01070109255059197,32.089570106757314,0.2928742152709899,2922079.2034895457,0.019082782857977525,141.7840409497806,0.47359375028483214,20.96907498631635,-2.009440399011089,1.0679433657113733,467338.626611579,18.571529841398263,-4.379800708499352,1.4188754382397122,0.002428065655763095,0.5656676462985749,0.0,0.000844468628228361,0.7010760178724589,2.8611906982318605,0.000866026331432336,0.0772983431432819,0.014904464315810231,0.014222415638989582,-0.00010143647396155574,0.02313328004340238,0.5347026664207813,0.5060684566743969,0.0,0.017153961833494626,0.030343377575746903,0.11315026580055029,15.272246494234148,-0.008155390228360183,0.3268111042626062,0.0066488799216274175,0.04863313900699885,0.01256611177723524,0.9852343679391498,0.0018896863652147254,0.008205861678386711,0.0,0.0003226623456879291,0.24168000391648908,98.63833943010808,0.0006757848627704014,0.0,0.06890344222991598,137.40424024128137,0.003150838219581269,27096.167067597664,87.15840718081824,1.2267288420569575,0.7512882684450835,15.400853514272931,0.005161568008064087,13148.734046156702,0.16537042654951523,17.870978924260346,0.12381685706046112,1.4335670527727258,0.008012028008246037,30.10143636695353,0.009172051357368372,0.0,0.0327349717311898,17022.999999999993,0.024183759786540655,0.0,16.101534885964316,0.0563569750687659,0.024468691041994596,0.0661850720243378,0.010656171064958624,0.6027292898260643,0.05210627253519356,0.027558678741437345,0.0815240685364156,0.0461055977434176,0.13527483035236115,-0.21586934478926934,0.0002871747294439179,0.0451411481732949,0.0006517275086796746,0.002826291678905692,0.24474340093107816,279088998.7693893,0.11191633395237405,1.2689313718582411,63.16301202939926,0.8531000208571404,7.196626187774211,1.0690142631356139,0.10092640312762678,0.1639126556630448,58.969085744568886,0.0,0.34419323111840233,0.018560107136302906,0.00553777726413987,43.25436053164614,0.0028338683728005194,0.008998571605134448
6,7,91.19,88.55,89.76,90.35,multiply,LTC,2019-07-29,"[""mineable"",""pow"",""scrypt"",""medium-of-exchange"",""binance-chain"",""bnb-chain""]",0,0.04602215555630464,0.03087592536413446,0.20848952184057856,0.441303743403633,2994.676781973281,1418.3179553771417,0.13968892509705694,0.002409083418538369,0.0,111.2450493065621,0.005081445901356915,0.1451399422478396,0.023928055864540856,23.612822690381563,0.0,0.2796822950247549,9912.533039456486,0.020003137043403996,1.18321449084833,0.018265961056617326,0.0,0.01597459579105852,0.005260023295618397,0.008273605165485035,8208.264930825844,0.014451937244150786,31.816085735484812,0.3453265472672596,2881694.5195574868,0.021582368737429924,152.95173087942823,0.5720804359001279,19.58812260536397,0.11469813073255652,1.3172980249608957,464332.51442343346,23.01442098066315,0.2499634835562654,1.681530480927373,0.0028408860574600263,0.6554839591097527,0.0,0.0009594865975288663,0.8317824144298009,2.9961498559941333,0.0012742223870143758,0.09143596438991317,0.022655529713149276,0.018617650363479035,0.0029868683123410074,0.026550248873608143,0.6291193825938077,0.6379035111873625,0.0,0.019663474567701462,0.03518197810511495,0.13385544704019872,17.250642197653207,-0.009219116639138873,0.3884416212551921,0.007733896622884385,0.057076223113597974,0.01467393961865596,0.98939138062119,0.0025812837308944046,0.009821967917963473,0.0,0.000464423995236008,0.2632470601453918,111.2450493065621,0.0007915652633116474,0.0,0.0808823814713691,153.20169436298465,0.0036576214499462567,27023.845991304268,104.36678890124833,1.4040298335976684,0.8881317840305422,15.514631917244326,0.007685818136874837,13118.379185787331,0.20208911510357647,18.055831582416676,0.14141086804268121,1.7395541734954807,0.017633542694276853,31.617929761088725,0.013059528544623087,0.0,0.045217305798062234,17023.999999999993,0.027737033666288387,0.0,21.358581370995783,0.06774384632382402,0.039895601173020406,0.07455821470170738,0.0157250386699775,0.6866424721819608,0.06057890847668377,0.03163169477496506,0.09815643382284096,0.061737005576716436,0.15407525233798894,-0.06467331214042288,0.0004066613483743634,0.06661923349175844,0.0009918529005292043,0.0032023685127133376,0.28118696819163025,275598783.5316924,0.12646586068321333,1.623884211843701,70.21303201312335,0.9897986736128248,7.7139153578798405,1.004155441324622,0.12150389583637643,0.19376480339172197,65.73813269026932,0.0,0.42398871462067705,0.021187336846402473,0.007644442197278662,42.90517211557713,0.00403262135631435,0.010444357928562596
7,8,91.57,90.1,90.35,90.35,multiply,LTC,2019-07-30,"[""mineable"",""pow"",""scrypt"",""medium-of-exchange"",""binance-chain"",""bnb-chain""]",0,0.05242232521731968,0.03569480801713836,0.233432705063239,0.5045354261937139,2986.8339424042465,1422.0784966924844,0.17195041303271374,0.0027715877724220333,0.0,123.49298191406088,0.0057449089523338714,0.1925874428377206,0.02777102953899395,23.236551036130464,0.0,0.3167712492330587,10005.264568666833,0.02250717772834012,1.3562203278891387,0.025685690891113576,0.0,0.019063929056976875,0.007142756354797507,0.009581815185597168,8179.709313787318,0.018472674370699924,31.590675547420272,0.3953730060149141,2867863.282607944,0.023982792609071813,164.0259547645531,0.6916650111223291,18.181513409961678,2.7438790528570247,1.5883528638546203,461121.9423989618,27.817173967989138,5.980518477320378,1.9523355023473847,0.00326162711654925,0.7482364116187954,0.0,0.0010782577349318168,0.9572529147612578,3.1043185844353873,0.0017097680550405777,0.10582865941581174,0.031309362254356675,0.023119500061797034,0.006608121163432565,0.03001856383636137,0.7593975190803934,0.7840725085921163,0.0,0.022271662958843134,0.03987411218226015,0.16148821516230497,19.37358616878836,-0.010323921641329857,0.44785841572941143,0.008861156428953982,0.06513930807893545,0.01680123594116919,1.0445409941086785,0.003319681333168536,0.01141393317678079,0.0,0.0006182270423927816,0.2827317822271661,123.49298191406088,0.0009117198121369413,0.0,0.093073790837556,170.00647324187364,0.004165014625303837,26943.376659504494,120.13550020084045,1.584965987532931,1.0293197257375728,16.20333405120911,0.010602552218514371,13082.54529681538,0.23278539941498871,18.303807728752112,0.15851511968030327,2.0588722395384624,0.02828757467144565,34.613108186050226,0.017139735508589778,0.0,0.058232698883533184,17024.999999999993,0.031368334157294106,0.0,27.0073373161537,0.07965722510608489,0.05608604004449376,0.08354600276026852,0.021157268364025882,0.7646654719235367,0.06923198821736083,0.03576347278869523,0.1141661486013266,0.07739937172990571,0.17107885201664425,0.12939969691509356,0.0005372553866435963,0.08839763626251379,0.0013637560252131968,0.0035888796193301173,0.31830958530558384,273963182.8406128,0.1403361739381206,1.988942553674265,77.51421137065864,1.1294057948820364,8.386176159724762,1.0003710779466823,0.14173429633749438,0.22481404441148578,73.1187902587236,0.0,0.5153830792871763,0.023815731471181968,0.009844116920034585,42.494967287094475,0.005332998599266676,0.01194774131751328
8,9,100.37,94.68,90.35,98.84,multiply,LTC,2019-07-31,"[""mineable"",""pow"",""scrypt"",""medium-of-exchange"",""binance-chain"",""bnb-chain""]",LTC,0.05868038384801457,0.04054940983809169,0.25842735226088953,0.5617426699860522,2977.920771782088,1426.7810202407372,0.20935773284119752,0.0031320492787400467,0.0,135.16655587336896,0.0064041231880219655,0.23990412627787455,0.03163831373483766,24.233203165774796,0.0,0.35408909665121563,10119.472686512352,0.02500234652259123,1.5324817268416326,0.033301258011547215,0.0,0.02232005137984002,0.00914360312163426,0.01088311262955312,8148.049378899906,0.022657315888906505,31.409858314561234,0.4424967958225193,2876742.1981041892,0.026255328672069502,174.73796281582696,0.8273041897964017,16.773193760262718,5.769351863622658,1.8731493589544908,457758.4859923725,32.862576443402745,12.574831823719354,2.225962828277767,0.0036823282483182344,0.8420430437009598,0.0,0.0011984515422780154,1.0761092571993578,3.187646768013849,0.0021617149566537748,0.12021675229973332,0.0406019227713332,0.027634229832088537,0.010633750022070317,0.03347621298797604,0.9183270641589993,0.9399783098587476,0.0,0.024924451771809922,0.04435906606988367,0.19460914117505146,21.57635919849215,-0.01144662852905343,0.5043811474830943,0.010007515405123858,0.07274110034076664,0.01891124132634143,1.1421285723113845,0.0040857941804827175,0.012959465102318277,0.0,0.0007797976587742987,0.30002743259706566,135.16655587336896,0.0010337822448222883,0.0,0.10525732074438955,187.31279463954652,0.0046643488355668575,26856.33635767949,134.34648869113832,1.7661095449576072,1.1720536422647225,17.366055872486136,0.01381035144869958,13042.19204766002,0.25766901495488903,18.60085368222187,0.1748998711089924,2.3848416750806614,0.03966379222063317,38.808456044635,0.02131702023412256,0.0,0.0714853598354433,17025.999999999993,0.03500986192771509,0.0,32.88995219026426,0.09182830216995949,0.07270152550452873,0.09291803944417949,0.026811618288398047,0.8362051309214827,0.07790255619118241,0.039880336175997996,0.12937284504829,0.09281302284725539,0.18622049013895534,0.3577315367146295,0.0006752246764482588,0.11011599396154448,0.0017569243604004421,0.00397797817681021,0.3554193701427648,273877726.92956364,0.1533722398785247,2.356040990333582,84.86951953493289,1.2692978290102204,9.176323305877746,1.048588953775793,0.1613303569221534,0.2564240328760349,80.86702677004422,0.0,0.6151384184154286,0.026402512933241515,0.012086630647809713,42.03701546206439,0.006699088051980155,0.013477823242756495
9,10,102.63,98.46,98.84,98.93,multiply,LTC,2019-08-01,"[""mineable"",""pow"",""scrypt"",""medium-of-exchange"",""binance-chain"",""bnb-chain""]",0,0.0646897858290517,0.045346638240019756,0.2829639935024807,0.6125967406465744,2968.173648272757,1432.2828959030749,0.2504377766834838,0.0034841004996733586,0.0,146.05018980525097,0.007047423945477339,0.28630488903013895,0.03545638540176917,26.3706646573792,0.0,0.39090481930307786,10250.472417033037,0.02744398802902695,1.7082620992998347,0.040957463319031724,0.0,0.025662137825096652,0.011206980419160609,0.012154856365979839,8114.08679477297,0.026899873757437676,31.270152808905237,0.48618112099864086,2904487.971509494,0.028371251125589286,184.8190052439217,0.9739546857673123,15.387110016420358,9.082366059289798,2.163728986822451,454293.72065787384,38.03341604693047,19.795871073679614,2.4970847844965376,0.00409502886805445,0.9350218952315023,0.0,0.001317737521408266,1.1869731800766288,3.2480842911877463,0.002619114712996801,0.13434056712043355,0.05026917209597964,0.03206810477249851,0.014935182831011463,0.03686118438476613,1.0986980061080867,1.1010237759573456,0.0,0.027567765771492107,0.04857612603068668,0.23177879608662058,23.7942420776171,-0.01256406059642988,0.5573294763140705,0.011149829616681671,0.07980030633684694,0.020967196355739168,1.2735994791390761,0.0048605372812825474,0.014436271342055551,0.0,0.0009448620159966091,0.3150272736903439,146.05018980525097,0.001155286296943693,0.0,0.11721262160778274,204.6148763176015,0.005146955170648166,26764.302371310398,146.88170198368562,1.9440327469665586,1.3135350823105398,18.90189333739424,0.017207797023147377,12998.279106740423,0.2769496971944145,18.93291576178117,0.19033538146441376,2.7107829043010665,0.05145186362272011,43.925457739640024,0.02549573070607552,0.0,0.08467949750163324,17026.999999999996,0.03859381764570864,0.0,38.84857546215366,0.10398826826985885,0.08940357540123936,0.10244392799759863,0.0325468465843883,0.9006682910464894,0.0864276568321062,0.04390860833024345,0.14359615534014866,0.10769828557303535,0.1994350274555505,0.6117040615955347,0.0008168370499849928,0.13141394406483384,0.00216084538375973,0.004361817363207794,0.39182444057299914,275037946.0319579,0.1654190246658545,2.7171141148052995,92.08192593887377,1.4068512203428234,10.047271508907565,1.139736849585952,0.18000482988152622,0.2879584229390678,88.73881054434369,0.0,0.7200168253029624,0.02890490315518124,0.01432181259600612,41.544586056353104,0.00809497766477744,0.015003705175062235
