,index,high,low,open,volumefrom,close,SearchFrequency,amd_open,nvda_open,retail_sales,gspc_open,nya_open,gold,day_of_month,weekday,symbol
0,1,0.6441,0.574,0.6417,7238255.628456393,0.5787,1.0432332220986311,34.299947691325386,43.62062687046885,477497.1491101225,3006.0196899786447,13184.734524293892,1423.5236210304126,26.6508620689655,1.7162925135672644,ALGO
1,2,0.6268,0.5824,0.5787,7878543.546916028,0.5993,1.3279146141215137,33.73387398397615,43.77556175446135,476286.96791673295,3009.5627782133192,13196.169833224978,1418.6370364529641,25.75738916256156,2.0144520848080383,ALGO
2,3,0.6135,0.5819,0.5993,8398251.631941779,0.6102,1.5639646638534321,33.2332805998472,43.803133146709115,474614.4496159755,3010.6172663991656,13197.327771457632,1415.5482148213773,24.718527640941417,2.2760718044366577,ALGO
3,4,0.7303,0.6038,0.6102,8803387.361948425,0.6518,1.7553898805845445,32.794686310936044,43.716610463078354,472531.1696620584,3009.419532702134,13189.168007411023,1414.1145260168269,23.55822386425833,2.50310155691135,ALGO
4,5,0.6248,0.5743,0.6518,9099958.215350743,0.5784,1.906196773605008,32.41460988924024,43.52926311943529,470088.7035091901,3006.2059552881756,13172.650209504323,1414.1933399204877,22.300424192665556,2.697491226690342,ALGO
5,6,0.6043,0.5728,0.5784,9293971.670563519,0.576,2.0203918522049813,32.089570106757314,43.25436053164614,467338.626611579,3001.2129123232407,13148.734046156702,1415.6420264135343,20.96907498631635,2.8611906982318605,ALGO
6,7,0.5926,0.5591,0.576,9391435.206001524,0.5707,2.1019816256746213,31.816085735484812,42.90517211557713,464332.51442343346,2994.676781973281,13118.379185787331,1418.3179553771417,19.58812260536397,2.9961498559941333,ALGO
7,8,0.5875,0.5567,0.5707,9398356.30007954,0.5674,2.1549726033040866,31.590675547420272,42.494967287094475,461121.9423989618,2986.8339424042465,13082.54529681538,1422.0784966924844,18.181513409961678,3.1043185844353873,ALGO
8,9,0.5946,0.5603,0.5674,9320742.431212347,0.5673,2.183371294383534,31.409858314561234,42.03701546206439,457758.4859923725,2977.920771782088,13042.19204766002,1426.7810202407372,16.773193760262718,3.187646768013849,ALGO
9,10,0.5751,0.5096,0.5673,9164601.077814724,0.5623,2.191184208203122,31.270152808905237,41.544586056353104,454293.72065787384,2968.173648272757,12998.279106740423,1432.2828959030749,15.387110016420358,3.2480842911877463,ALGO
10,11,0.8836,0.5554,0.5623,8935939.718301449,0.8094,2.182417854053009,31.16807780244982,41.030948485826826,450779.2218496743,2957.828950042204,12951.766142475759,1438.4414935606721,14.047208538587846,3.287581038415305,ALGO
11,12,0.8776,0.7387,0.8094,8640765.831087302,0.7442,2.161078741223351,31.100152067192518,40.50937216635178,447266.5650219822,2947.123055256379,12903.612823285195,1445.114183094704,12.777435686918446,3.3080868941547537,ALGO
12,13,0.7627,0.7022,0.7442,8285086.89458706,0.7073,2.131173379004307,31.06289437513087,39.993126513794195,443807.3256290059,2936.2923420812335,12854.778817587907,1452.1583343863447,11.601737821565413,3.311551742864318,ALGO
13,14,0.8087,0.6723,0.7073,7874910.387215504,0.79,2.0967082766860354,31.052823498262423,39.49548094402027,440453.0791249538,2925.5731886827184,12806.223793803063,1459.4313173167693,10.544061302682,3.299925469002227,ALGO
14,15,0.7903,0.6948,0.79,7203442.6472587,0.7015,2.112946428571361,30.98473011978936,38.84924646190112,436027.2410714147,2910.861522347493,12739.754510061677,1469.5541580472207,9.260937499999702,3.204687499999898,ALGO
