,index,high,low,open,volumefrom,close,SearchFrequency,amd_open,nvda_open,retail_sales,gspc_open,nya_open,gold,day_of_month,weekday,symbol
0,1,91.06,88.35,95.19,3656819.6366730602,90.11,18.38544679273267,34.299947691325386,43.62062687046885,477497.1491101225,3006.0196899786447,13184.734524293892,1423.5236210304126,26.6508620689655,1.7162925135672644,LTC
1,2,95.72,88.07,90.11,3426018.299777501,94.52,18.043876794321733,33.73387398397615,43.77556175446135,476286.96791673295,3009.5627782133192,13196.169833224978,1418.6370364529641,25.75738916256156,2.0144520848080383,LTC
2,3,95.67,91.37,94.52,3240986.882548098,93.26,17.835698689313816,33.2332805998472,43.803133146709115,474614.4496159755,3010.6172663991656,13197.327771457632,1415.5482148213773,24.718527640941417,2.2760718044366577,LTC
3,4,94.62,91.93,93.26,3097882.090448123,94.22,17.746858796664135,32.794686310936044,43.716610463078354,472531.1696620584,3009.419532702134,13189.168007411023,1414.1145260168269,23.55822386425833,2.50310155691135,LTC
4,5,90.89,87.26,94.22,2992860.628940848,88.74,17.763303435327906,32.41460988924024,43.52926311943529,470088.7035091901,3006.2059552881756,13172.650209504323,1414.1933399204877,22.300424192665556,2.697491226690342,LTC
5,6,90.39,87.25,88.74,2922079.2034895457,89.76,17.870978924260346,32.089570106757314,43.25436053164614,467338.626611579,3001.2129123232407,13148.734046156702,1415.6420264135343,20.96907498631635,2.8611906982318605,LTC
6,7,91.19,88.55,89.76,2881694.5195574868,90.35,18.055831582416676,31.816085735484812,42.90517211557713,464332.51442343346,2994.676781973281,13118.379185787331,1418.3179553771417,19.58812260536397,2.9961498559941333,LTC
7,8,91.57,90.1,90.35,2867863.282607944,90.35,18.303807728752112,31.590675547420272,42.494967287094475,461121.9423989618,2986.8339424042465,13082.54529681538,1422.0784966924844,18.181513409961678,3.1043185844353873,LTC
8,9,100.37,94.68,90.35,2876742.1981041892,98.84,18.60085368222187,31.409858314561234,42.03701546206439,457758.4859923725,2977.920771782088,13042.19204766002,1426.7810202407372,16.773193760262718,3.187646768013849,LTC
9,10,102.63,98.46,98.84,2904487.971509494,98.93,18.93291576178117,31.270152808905237,41.544586056353104,454293.72065787384,2968.173648272757,12998.279106740423,1432.2828959030749,15.387110016420358,3.2480842911877463,LTC
10,11,100.13,93.46,98.93,2947257.308287131,94.81,19.28594028638523,31.16807780244982,41.030948485826826,450779.2218496743,2957.828950042204,12951.766142475759,1438.4414935606721,14.047208538587846,3.287581038415305,LTC
11,12,97.83,93.81,94.81,3001206.913900371,94.27,19.645873574989267,31.100152067192518,40.50937216635178,447266.5650219822,2947.123055256379,12903.612823285195,1445.114183094704,12.777435686918446,3.3080868941547537,LTC
12,13,96.5,92.59,94.27,3062493.4938124865,93.06,19.998661946548495,31.06289437513087,39.993126513794195,443807.3256290059,2936.2923420812335,12854.778817587907,1452.1583343863447,11.601737821565413,3.311551742864318,LTC
13,14,106.56,94.62,93.06,3127273.7534867506,96.46,20.330251720018136,31.052823498262423,39.49548094402027,440453.0791249538,2925.5731886827184,12806.223793803063,1459.4313173167693,10.544061302682,3.299925469002227,LTC
14,15,94.18,89.75,96.46,3149030.569002132,92.89,20.63325892857077,30.98473011978936,38.84924646190112,436027.2410714147,2910.861522347493,12739.754510061677,1469.5541580472207,9.260937499999702,3.204687499999898,LTC
15,16,97.09,89.89,92.89,3174978.9334909706,90.65,20.674553571427907,30.90788631098512,38.54146295530332,433468.15937498625,2902.315274865194,12697.981715174683,1475.9770340782788,8.662499999999719,3.073437499999902,LTC
16,17,93.9,89.84,90.65,3233000.5090199867,89.91,20.613169642856484,30.90127027034661,38.41313142691217,431203.2249999863,2895.8215563636945,12666.541490172936,1482.3124571118565,8.306249999999732,2.926562499999907,LTC
17,18,89.81,83.42,89.91,3238804.1863146285,84.24,20.454687499999345,30.98521889405493,38.39525028467057,429281.46249998634,2893.0398506163624,12651.321362522267,1485.5888636724817,8.226785714285446,2.795312499999911,LTC
18,19,86.94,80.05,84.24,3221879.65192847,85.32,20.24687499999935,31.10061172374558,38.41709120699215,427751.89642855787,2890.6071751729855,12634.155015563565,1489.4906284331803,8.45870535714258,2.710937499999913,LTC
