,index,high,low,open,volumefrom,close,SearchFrequency,amd_open,nvda_open,retail_sales,gspc_open,nya_open,gold,day_of_month,weekday,symbol
0,696,7.1e-06,6.09e-06,6.31e-06,72110482924.10486,6.83e-06,11.41473214285678,85.42952139207023,190.37744403225432,558037.3312499822,4245.943441881316,16468.84206521118,1777.3954450879214,22.374999999999297,3.073437499999902,SHIB
1,697,7.44e-06,6.57e-06,6.83e-06,75592731808.03333,7.21e-06,11.18415178571393,86.30928669827048,192.2303389583254,557993.0124999823,4253.4897529600685,16487.415763200504,1773.6354441778435,21.828124999999314,2.926562499999907,SHIB
2,698,8.5e-06,6.72e-06,7.21e-06,78228481986.60468,7.07e-06,10.931249999999652,87.04088235412047,193.7336180823128,557940.7796874823,4259.2623087200445,16489.81218545044,1771.025372477884,21.080357142856474,2.795312499999911,SHIB
3,699,7.54e-06,6.91e-06,7.07e-06,79593756830.35466,7.48e-06,10.743749999999658,87.82018136126372,195.16479159763261,557881.7633928395,4266.66819926657,16496.75394287057,1770.6828936167562,20.165178571427933,2.710937499999913,SHIB
4,700,7.88e-06,7.27e-06,7.48e-06,79366505714.2832,7.86e-06,10.509374999999666,88.56348721299567,196.6897479431907,557817.0941964108,4275.27673252637,16509.498721530934,1770.1160136358515,19.11607142857082,2.999999999999905,SHIB
5,701,8.2e-06,7.6e-06,7.86e-06,79391966718.7475,8.08e-06,10.351562499999671,89.29540020227145,198.034796953195,557747.9026785537,4284.35583321694,16524.59940403477,1770.627592740684,17.966517857142286,3.289062499999895,SHIB
6,702,9.62e-06,8.04e-06,8.08e-06,77354758660.71184,8.88e-06,10.193749999999676,89.95048970154066,199.28471461022966,557675.3194196252,4294.308132171494,16548.535856627892,1772.3956442968617,16.749999999999464,3.204687499999898,SHIB
7,703,9.22e-06,8.01e-06,8.88e-06,74584751049.10475,8.82e-06,10.04374999999968,90.58098981380172,200.62259273187817,557600.4749999823,4305.808531079836,16575.136965069923,1775.0053958074818,15.499999999999508,3.073437499999902,SHIB
8,704,8.82e-06,8.15e-06,8.82e-06,71517089732.14056,8.35e-06,9.909374999999686,91.17091638530712,201.95808664389375,557524.4999999823,4317.4719026836665,16605.51859893746,1779.2282058442775,14.249999999999545,2.926562499999907,SHIB
9,705,8.43e-06,8.06e-06,8.35e-06,66960393638.39073,8.36e-06,9.798437499999688,91.70288526670983,203.3303177424775,557448.5249999823,4330.659771510394,16636.507418822708,1783.629318346239,13.033482142856727,2.795312499999911,SHIB
10,706,8.79e-06,8.31e-06,8.36e-06,61946798437.49804,8.65e-06,9.803124999999687,92.24087875910872,204.68225420542473,557373.6805803395,4341.38519810254,16657.425415256515,1786.519735308999,11.883928571428191,2.710937499999913,SHIB
11,707,8.95e-06,8.46e-06,8.65e-06,54859651183.03397,8.73e-06,9.815624999999685,92.5894726123099,205.39219546658,557301.0973214109,4348.354473331859,16658.081019373774,1788.9850245338966,10.834821428571079,2.999999999999905,SHIB
12,708,8.73e-06,8.15e-06,8.73e-06,44879833524.43964,8.35e-06,9.61026785714255,92.69172719716731,205.26935118947063,557231.9058035538,4354.074207741735,16662.681903947574,1790.8727722167403,9.919642857142538,3.289062499999895,SHIB
13,709,9.32e-06,8.32e-06,8.35e-06,32173052463.697174,8.75e-06,9.36138392857113,92.66062441382795,204.7264274937701,557167.2366071251,4353.812949589181,16641.588959829613,1792.9483797617752,9.171874999999705,3.204687499999898,SHIB
14,710,8.95e-06,8.52e-06,8.75e-06,27063728312.005814,8.57e-06,9.07455357142828,92.37592578785467,203.54874716826197,557108.2203124823,4353.031319209368,16618.605236815874,1796.2472025189516,8.624999999999721,3.073437499999902,SHIB
15,711,8.57e-06,7.8e-06,8.57e-06,24396250567.487602,8.02e-06,8.755357142856862,91.95450193711393,202.46590852055587,557055.9874999824,4351.804872567174,16597.206549943665,1798.9231633594486,8.312499999999732,2.926562499999907,SHIB
16,712,8.1e-06,7.69e-06,8.02e-06,19398157856.11097,7.91e-06,8.409374999999732,91.46879210642113,201.52788540975746,557011.6687499824,4349.37695781149,16568.280925423227,1801.23423982342,8.267857142856872,2.795312499999911,SHIB
17,713,8.09e-06,7.52e-06,7.91e-06,29810509065.470016,7.67e-06,7.957812499999745,91.04047053881763,200.468717544413,556976.3946428394,4347.954855673515,16544.99431348475,1803.3066298892945,8.524553571428294,2.710937499999913,SHIB
18,714,7.97e-06,7.57e-06,7.67e-06,31646814001.283348,7.86e-06,7.521874999999761,90.583300803386,199.3133961949966,556951.295758911,4347.266101183071,16528.152353776677,1805.2752487454522,9.116071428571134,2.999999999999905,SHIB
19,715,7.99e-06,7.31e-06,7.86e-06,31923106174.611473,7.58e-06,7.163839285714056,90.05007748603533,198.04782187938056,556937.5026785538,4346.443828582626,16513.10241568376,1806.9837581088987,10.075892857142533,3.289062499999895,SHIB
20,716,7.59e-06,7.04e-06,7.58e-06,32974301610.906532,7.11e-06,6.845982142856924,89.46718899181626,196.62317967754822,556936.1459821252,4346.308564540179,16502.581755065392,1808.65315753386,11.437499999999634,3.204687499999898,SHIB
21,717,7.56e-06,6.69e-06,7.11e-06,39704757864.52239,7.24e-06,6.572767857142646,88.78444821834283,195.29455288137083,556948.3562499824,4346.399878910472,16486.898735917788,1809.5492141450577,13.234374999999575,3.073437499999902,SHIB
22,718,7.36e-06,6.79e-06,7.24e-06,44813938916.48562,6.9e-06,6.3486607142855105,88.12236816201612,194.07536210331978,556975.2640624823,4346.488148825371,16465.98743852835,1808.3471860067605,15.499999999999506,2.926562499999907,SHIB
23,719,6.99e-06,6.55e-06,6.9e-06,48217474156.456924,6.63e-06,6.178124999999802,87.62795771700716,192.81845640113755,557017.9999999823,4346.164405713623,16452.526521954693,1808.4143072945155,16.49999999999947,2.795312499999911,SHIB
24,720,7.05e-06,6.57e-06,6.63e-06,49758412564.45153,6.81e-06,6.149999999999803,87.36247797522947,191.82747909681527,557017.9999999823,4347.101243264196,16445.590895516005,1808.3511830738037,18.807812499999397,2.710937499999913,SHIB
25,721,7.01e-06,6.61e-06,6.81e-06,51657622601.73227,6.66e-06,6.153124999999802,87.4381588458987,191.15286136013512,557895.0359374823,4349.877289363178,16443.609002903002,1808.4650677271673,20.631249999999344,2.999999999999905,SHIB
26,722,6.67e-06,6.08e-06,6.66e-06,52644342820.22376,6.18e-06,6.076339285714091,87.68151149919778,190.66390519141547,558447.2437499822,4353.772252981865,16446.332319422603,1808.3939958571814,22.004910714285018,3.289062499999895,SHIB
27,723,6.23e-06,5.7e-06,6.18e-06,53800252671.88891,5.88e-06,6.008482142856951,87.94656282663065,190.28984572886816,558697.8254464108,4356.9344229560575,16446.543951851458,1808.2300670078248,22.963392857142125,3.204687499999898,SHIB
28,724,6.96e-06,5.78e-06,5.88e-06,57201755286.70866,6.53e-06,5.954017857142667,88.48175264426357,189.97119053431314,558669.9830356966,4360.964257158414,16457.308242143376,1807.7079908915355,23.5412946428564,3.073437499999902,SHIB
29,725,6.65e-06,6.35e-06,6.53e-06,58239459454.56266,6.46e-06,5.917410714285526,89.66132377726404,190.06935847826765,558386.918526768,4364.211670466693,16459.65733620727,1808.0604682921785,23.773214285713532,2.926562499999907,SHIB
30,726,6.7e-06,6.12e-06,6.46e-06,56728107713.32363,6.47e-06,5.903124999999812,90.64976142644593,189.9986208098215,557871.8339285537,4365.879059055734,16463.704310389403,1809.9849147523578,23.693749999999255,2.795312499999911,SHIB
31,727,6.66e-06,6.31e-06,6.47e-06,55669935923.125,6.43e-06,5.746874999999816,91.89620574712463,190.18950763769908,557147.9312499823,4368.101658412248,16459.87555236764,1811.2621274675062,23.337499999999267,2.710937499999913,SHIB
32,728,6.54e-06,6.16e-06,6.43e-06,56324919684.79751,6.36e-06,5.684374999999819,93.35448487315563,190.75543052808973,556238.4124999824,4372.943629346436,16472.281555829206,1811.6106565474884,22.73906249999928,2.999999999999905,SHIB
33,729,6.9e-06,6.25e-06,6.36e-06,62650941615.42095,6.31e-06,5.597767857142678,95.0962548783817,191.62933303628037,555166.4796874824,4378.6002163476915,16490.143152290908,1812.1779583521677,21.933035714285015,3.289062499999895,SHIB
34,730,6.42e-06,6.04e-06,6.31e-06,65794431770.334915,6.32e-06,5.56919642857125,96.91460987499471,192.8549317087384,553955.334821411,4384.614421626361,16509.333405630405,1811.634139960095,20.954017857142194,3.204687499999898,SHIB
35,731,6.35e-06,6.14e-06,6.32e-06,74836008736.48555,6.18e-06,5.596428571428391,98.73884218419985,194.43757918902187,552628.1799106967,4391.63071321746,16532.416138566725,1809.3657499040296,19.83660714285651,3.073437499999902,SHIB
36,732,6.5e-06,6.08e-06,6.18e-06,81397386683.03156,6.3e-06,5.67723214285696,100.59470398596034,196.17358049664557,551208.2169642682,4398.593024226457,16556.79531358939,1806.4577560151754,18.615401785713697,2.926562499999907,SHIB
37,733,6.42e-06,6.1e-06,6.3e-06,86471061413.71977,6.29e-06,5.809374999999813,102.25352547509,197.68786761419486,549718.647991054,4406.0338414872,16584.239265659355,1803.5726649964984,17.32499999999945,2.795312499999911,SHIB
38,734,6.31e-06,6.19e-06,6.29e-06,86836636993.79987,6.24e-06,6.032812499999806,103.76744963441246,198.88233328886758,548182.6749999826,4414.035970306254,16612.92303401349,1800.9987342833897,15.999999999999488,2.710937499999913,SHIB
39,735,6.71e-06,6.21e-06,6.24e-06,81483253257.96924,6.3e-06,6.287499999999797,105.07741828475346,199.41703966344474,546623.4999999827,4418.375613730153,16636.40128304564,1797.279338673125,14.674999999999532,2.999999999999905,SHIB
40,736,6.44e-06,6.21e-06,6.3e-06,85929264410.3171,6.35e-06,6.454464285714078,106.40377961567133,199.927552420746,545064.3249999827,4421.845093427245,16661.10552956664,1793.1189424786673,13.384598214285287,3.289062499999895,SHIB
41,737,6.41e-06,6.15e-06,6.35e-06,96048144204.21587,6.19e-06,6.61473214285693,107.48263202224116,200.20698843682877,543528.3520089113,4425.180701555384,16690.12825535312,1789.1671579087913,12.163392857142465,3.204687499999898,SHIB
42,738,6.33e-06,6.1e-06,6.19e-06,112335072191.94684,6.24e-06,6.764955357142641,108.62462486198623,200.61129462718324,542038.7830356971,4427.5970950533965,16703.681384930762,1786.3419600894902,11.045982142856786,3.073437499999902,SHIB
43,739,6.25e-06,6.12e-06,6.24e-06,126513990818.89685,6.21e-06,6.901785714285493,109.45280982255586,200.664585450711,540618.8200892685,4429.540200260567,16726.108915055967,1783.29477536332,10.066964285713961,2.926562499999907,SHIB
44,740,6.42e-06,6.13e-06,6.21e-06,143160038015.9327,6.31e-06,7.021874999999776,110.08566660880692,200.61765254565012,539291.6651785542,4429.8932328359015,16745.79521091953,1780.0599961416492,9.260937499999702,2.795312499999911,SHIB
45,741,7.9e-06,6.29e-06,6.31e-06,157536444310.92285,7.8e-06,7.121874999999774,110.58740722621837,200.72078884328474,538080.5203124828,4430.8009908402255,16757.423674228678,1777.1686559131601,8.662499999999719,2.710937499999913,SHIB
46,742,8.87e-06,7.25e-06,7.8e-06,169012892465.17273,7.28e-06,7.19843749999977,110.8990900499445,200.7501083782677,537008.5874999829,4433.017946733606,16768.61684657452,1774.5239678791024,8.306249999999732,2.999999999999905,SHIB
47,743,7.88e-06,7.11e-06,7.28e-06,176800818717.03586,7.63e-06,7.366071428571194,110.80296071767455,200.50272518906638,536099.068749983,4433.862379128451,16769.781815446597,1771.0282108306321,8.226785714285446,3.289062499999895,SHIB
48,744,7.93e-06,7.31e-06,7.63e-06,185548941520.71753,7.57e-06,7.539285714285475,110.57979564836697,200.41895592893238,535375.1660714116,4435.005582536829,16764.675265502396,1768.4888149260912,8.45870535714258,3.204687499999898,SHIB
49,745,8.3e-06,7.54e-06,7.57e-06,192462286450.93024,7.8e-06,7.716964285714038,110.17005906615589,200.23986005441847,534860.0814731972,4436.975327518868,16756.281784929015,1766.6519146509972,9.036607142856852,3.073437499999902,SHIB
50,746,8e-06,7.45e-06,7.98e-06,198227245787.17947,7.64e-06,7.897991071428319,109.59609028781813,200.2634990555836,534577.0169642688,4439.630437469341,16750.39020734461,1764.2915118353144,9.995089285713965,2.926562499999907,SHIB
51,747,8.18e-06,7.6e-06,7.64e-06,210914862663.16382,8.13e-06,8.081249999999741,108.77850778954024,200.27101270470664,534549.1745535544,4440.664679608885,16738.4472311832,1762.3173158645068,11.368749999999636,2.795312499999911,SHIB
52,748,8.54e-06,7.82e-06,8.13e-06,221402239882.22754,8.14e-06,8.392187499999732,108.13384479283944,200.46223341055642,534799.756249983,4441.766089956959,16734.07814766966,1762.550061525561,13.192187499999578,2.710937499999913,SHIB
53,749,8.77e-06,7.85e-06,8.14e-06,227195312429.99612,8.57e-06,8.656249999999723,107.69319306271072,201.0078695944313,535351.9640624829,4443.851381247242,16726.315212576195,1763.1785885674053,15.499999999999506,2.999999999999905,SHIB
54,750,9.49e-06,8.37e-06,8.57e-06,229420820068.1583,9.02e-06,8.757812499999718,107.32337835005008,201.81097254071275,536228.9999999829,4445.631387001986,16719.949086215984,1764.9515759876235,16.49999999999947,3.289062499999895,SHIB
