,index,high,low,open,volumefrom,close,SearchFrequency,amd_open,nvda_open,retail_sales,gspc_open,nya_open,gold,day_of_month,weekday,symbol
0,1,1.049,0.9971,1.0,48350.34326398019,1.0,4.599270232918742,34.299947691325386,43.62062687046885,477497.1491101225,3006.0196899786447,13184.734524293892,1423.5236210304126,26.6508620689655,1.7162925135672644,USDC
1,2,1.016,0.9762,1.0,45336.923388974756,1.0,5.645533758047675,33.73387398397615,43.77556175446135,476286.96791673295,3009.5627782133192,13196.169833224978,1418.6370364529641,25.75738916256156,2.0144520848080383,USDC
2,3,1.032,0.9871,1.0,43048.83302430788,1.001,6.4721040587559076,33.2332805998472,43.803133146709115,474614.4496159755,3010.6172663991656,13197.327771457632,1415.5482148213773,24.718527640941417,2.2760718044366577,USDC
3,4,1.005,0.9824,1.001,41421.83236329202,1.001,7.095750141384194,32.794686310936044,43.716610463078354,472531.1696620584,3009.419532702134,13189.168007411023,1414.1145260168269,23.55822386425833,2.50310155691135,USDC
4,5,1.077,0.9824,1.001,40391.6815992396,1.0,7.533241012273287,32.41460988924024,43.52926311943529,470088.7035091901,3006.2059552881756,13172.650209504323,1414.1933399204877,22.300424192665556,2.697491226690342,USDC
5,6,1.008,0.9598,1.0,39894.140925463056,1.001,7.801345677763937,32.089570106757314,43.25436053164614,467338.626611579,3001.2129123232407,13148.734046156702,1415.6420264135343,20.96907498631635,2.8611906982318605,USDC
6,7,1.023,0.9882,1.001,39864.97053527482,1.001,7.9168331441969,31.816085735484812,42.90517211557713,464332.51442343346,2994.676781973281,13118.379185787331,1418.3179553771417,19.58812260536397,2.9961498559941333,USDC
7,8,1.017,0.9795,1.001,40239.930621987325,1.001,7.896472417912927,31.590675547420272,42.494967287094475,461121.9423989618,2986.8339424042465,13082.54529681538,1422.0784966924844,18.181513409961678,3.1043185844353873,USDC
8,9,1.003,0.9491,1.001,40954.78137891301,0.9994,7.75703250525277,31.409858314561234,42.03701546206439,457758.4859923725,2977.920771782088,13042.19204766002,1426.7810202407372,16.773193760262718,3.187646768013849,USDC
9,10,1.008,0.9509,0.9994,41945.28299936431,1.001,7.515282412557184,31.270152808905237,41.544586056353104,454293.72065787384,2968.173648272757,12998.279106740423,1432.2828959030749,15.387110016420358,3.2480842911877463,USDC
10,11,1.014,0.9832,1.001,43147.195676653646,1.001,7.187991146166919,31.16807780244982,41.030948485826826,450779.2218496743,2957.828950042204,12951.766142475759,1438.4414935606721,14.047208538587846,3.287581038415305,USDC
11,12,1.009,0.9711,1.001,44496.27960409348,0.9998,6.79192771242273,31.100152067192518,40.50937216635178,447266.5650219822,2947.123055256379,12903.612823285195,1445.114183094704,12.777435686918446,3.3080868941547537,USDC
12,13,1.009,0.9634,0.9998,45928.29497499621,1.0,6.343861117665368,31.06289437513087,39.993126513794195,443807.3256290059,2936.2923420812335,12854.778817587907,1452.1583343863447,11.601737821565413,3.311551742864318,USDC
13,14,1.012,0.9301,1.0,47379.0019826743,1.0,5.860560368235587,31.052823498262423,39.49548094402027,440453.0791249538,2925.5731886827184,12806.223793803063,1459.4313173167693,10.544061302682,3.299925469002227,USDC
14,15,1.074,0.979,1.0,47806.810265623484,1.0,5.290624999999832,30.98473011978936,38.84924646190112,436027.2410714147,2910.861522347493,12739.754510061677,1469.5541580472207,9.260937499999702,3.204687499999898,USDC
15,16,1.015,0.9528,1.0,48758.899323659156,1.001,4.962499999999841,30.90788631098512,38.54146295530332,433468.15937498625,2902.315274865194,12697.981715174683,1475.9770340782788,8.662499999999719,3.073437499999902,USDC
16,17,1.003,0.9581,1.001,50119.888238837695,0.9985,4.626562499999851,30.90127027034661,38.41313142691217,431203.2249999863,2895.8215563636945,12666.541490172936,1482.3124571118565,8.306249999999732,2.926562499999907,USDC
17,18,1.014,0.9847,0.9985,50737.2019017841,1.001,4.282812499999862,30.98521889405493,38.39525028467057,429281.46249998634,2893.0398506163624,12651.321362522267,1485.5888636724817,8.226785714285446,2.795312499999911,USDC
18,19,1.061,0.9954,1.001,50644.34316517695,1.001,4.01562499999987,31.10061172374558,38.41709120699215,427751.89642855787,2890.6071751729855,12634.155015563565,1489.4906284331803,8.45870535714258,2.710937499999913,USDC
19,20,1.005,0.9651,1.001,50609.05162723054,1.002,3.709374999999881,31.238892933299574,38.51227139064121,426663.5513392721,2889.47525198791,12622.536990138058,1493.319330978346,9.036607142856852,2.999999999999905,USDC
20,21,1.015,0.9876,1.002,49924.638330355556,1.001,3.6020089285713137,31.397131715075304,38.66552518435764,426065.4517857008,2888.2313861301045,12609.033012389737,1497.6078071866236,9.995089285713965,3.289062499999895,USDC
21,22,1.054,0.9917,1.001,47942.20392856991,1.001,3.531473214285602,31.623287915756713,38.96696207182623,426006.62232141505,2889.9243073053804,12606.126473562656,1501.1632707595343,11.368749999999636,3.204687499999898,USDC
22,23,1.086,0.9908,1.001,45965.3539665164,1.002,3.504464285714174,31.761805727225383,39.253588751382935,426536.08749998646,2889.7971100942505,12600.33641858742,1504.7214601516243,13.192187499999578,3.073437499999902,USDC
23,24,1.015,0.9221,1.002,45065.49444196285,1.001,3.5276785714284595,31.873127198218278,39.586949635402235,427702.8718749864,2890.9375432149773,12598.424714878227,1508.6791158675667,15.499999999999506,2.926562499999907,USDC
24,25,1.018,0.943,1.001,44547.06319419501,1.001,3.607812499999885,31.952497724549087,39.984786581140334,429555.9999999863,2893.7164618354955,12600.250194004202,1510.8541362761966,16.49999999999947,2.795312499999911,USDC
25,26,1.025,0.9801,1.001,43622.06112276648,1.001,3.667187499999883,31.960723133171278,40.32135404433396,429555.9999999863,2895.927072960897,12600.72235041987,1514.0282178333343,18.807812499999397,2.710937499999913,USDC
26,27,1.019,0.9768,1.001,40560.49664062371,1.001,3.8281249999998783,31.86743517986264,40.57068325195865,428421.99999998644,2896.44410531171,12594.22075238869,1516.1216318674963,20.631249999999344,2.999999999999905,USDC
27,28,1.002,0.9418,1.001,37302.24793080237,1.001,3.8004464285713078,31.721234282424454,40.80770779166774,427707.99999998644,2897.1887952531165,12589.925181797174,1517.3629264558579,22.004910714285018,3.289062499999895,USDC
28,29,1.018,0.983,1.001,36677.41274330239,1.001,3.7939732142855935,31.49858027228187,41.008009707926405,427383.99999998644,2897.4882804869685,12586.212042235926,1516.5589329855297,22.963392857142125,3.204687499999898,USDC
29,30,1.067,0.9746,1.001,37687.15903348095,1.0,3.8075892857141644,31.240461946809997,41.13189763511799,427419.99999998644,2894.5460025786433,12577.539459882068,1516.7687082290167,23.5412946428564,3.073437499999902,USDC
30,31,1.012,0.9669,1.0,37263.8911138381,0.9993,3.8401785714284484,30.93524539513149,41.146275293825745,427785.99999998644,2890.943168531053,12568.135109165338,1518.4289301463054,23.773214285713532,2.926562499999907,USDC
31,32,1.007,0.9668,0.9993,37894.73761607022,1.001,3.890624999999876,30.783281131726376,41.25293224283496,428451.99999998644,2889.685017776397,12564.774120657385,1521.1619913918148,23.693749999999255,2.795312499999911,USDC
32,33,1.028,0.977,1.001,37774.21920089166,1.001,4.168749999999866,30.735698585849867,41.400805625743914,429387.99999998644,2891.582626942134,12573.46212463339,1523.8761203765382,23.337499999999267,2.710937499999913,USDC
33,34,1.021,0.977,1.001,36884.87676115954,1.0,4.38437499999986,30.756149486557792,41.512441843746764,430563.9999999863,2893.743037686937,12583.30454472093,1525.6380640846853,22.73906249999928,2.999999999999905,USDC
34,35,1.027,0.9798,1.0,35391.51620312388,1.001,4.483035714285571,30.848238824519804,41.635449716021704,431949.9999999863,2897.7992220741444,12599.26334751634,1527.3065927777484,21.933035714285015,3.289062499999895,USDC
35,36,1.02,0.9867,1.001,33117.349874998945,1.0,4.510267857142714,30.967774584036924,41.70325042179519,433515.9999999862,2902.2145415713885,12617.540831647199,1528.547043337092,20.954017857142194,3.204687499999898,USDC
36,37,1.058,0.9878,1.0,31851.26405580256,1.0,4.469419642857001,31.034988912513285,41.73882854751045,435231.9999999862,2904.7987702505006,12631.421999685701,1529.4830060685895,19.83660714285651,3.073437499999902,USDC
37,38,1.026,0.9858,1.0,32195.53031473112,1.001,4.363839285714148,31.02252685427567,41.84052163873266,437067.9999999861,2908.8102219171965,12650.4323512482,1529.7287437710957,18.615401785713697,2.926562499999907,USDC
38,39,1.012,0.9772,1.001,34158.59598660606,1.0,4.196874999999867,30.97375223977126,41.92414832711085,438993.9999999861,2911.5759398323216,12660.72500523118,1529.7308263233242,17.32499999999945,2.795312499999911,USDC
39,40,1.013,0.9917,1.0,35559.01350446316,1.003,3.676562499999884,30.891600410852135,42.085667389629926,440979.999999986,2915.1126312254933,12674.533781432698,1529.8766999107968,15.999999999999488,2.710937499999913,USDC
40,41,1.006,0.9813,1.003,34257.73873437391,1.001,3.210937499999898,30.889093706010783,42.30003118855477,442995.99999998586,2921.363363156907,12703.19777374227,1528.9585983275877,14.674999999999532,2.999999999999905,USDC
41,42,1.009,0.9418,1.001,32849.001587052524,1.002,2.9133928571427643,30.86722322148838,42.496348681618834,445011.99999998586,2928.210579899286,12737.803895568442,1528.0782839093406,13.384598214285287,3.289062499999895,USDC
42,43,1.015,0.9696,1.002,32194.506209820403,1.001,2.697321428571342,30.881776823741063,42.689767737898144,446997.99999998574,2935.2729886190305,12774.26931544672,1526.2693978445382,12.163392857142465,3.204687499999898,USDC
43,44,1.023,0.982,1.001,30001.82944642762,1.0,2.5604910714284888,30.860421985812565,42.981090729575826,448923.9999999856,2942.7480018069828,12812.921730913024,1524.1466548101757,11.045982142856786,3.073437499999902,USDC
44,45,1.007,0.9901,1.0,30656.380220981162,0.9977,2.5006696428570625,30.85302462449997,43.32587699379102,450759.9999999856,2951.082888466877,12853.035911341663,1521.5115235191952,10.066964285713961,2.926562499999907,USDC
45,46,1.06,0.9915,0.9977,30603.312249999028,0.9994,2.515624999999919,30.895303645729037,43.734109583921395,452475.9999999855,2961.514848491029,12900.138058907232,1517.355697958762,9.260937499999702,2.795312499999911,USDC
46,47,1.008,0.9826,0.9994,30122.492120534756,1.001,2.771874999999911,30.917886194160026,44.08467863201955,454041.9999999855,2970.970357840307,12943.978665596684,1512.712172671679,8.662499999999719,2.710937499999913,USDC
47,48,1.018,0.9884,1.001,28647.249006695514,1.001,3.035937499999903,30.884924149512255,44.36924273116107,455427.9999999855,2977.5921721866207,12974.88790239565,1510.5526401791774,8.306249999999732,2.999999999999905,USDC
