,index,high,low,open,volumefrom,close,SearchFrequency,amd_open,nvda_open,retail_sales,gspc_open,nya_open,gold,day_of_month,weekday,symbol
0,1,0.3209,0.306,0.3209,76534426.7715643,0.3081,5.039050123032326,34.299947691325386,43.62062687046885,477497.1491101225,3006.0196899786447,13184.734524293892,1423.5236210304126,26.6508620689655,1.7162925135672644,XRP
1,2,0.3184,0.303,0.3081,67683372.85086346,0.316,5.255022415478479,33.73387398397615,43.77556175446135,476286.96791673295,3009.5627782133192,13196.169833224978,1418.6370364529641,25.75738916256156,2.0144520848080383,XRP
2,3,0.3232,0.3119,0.316,60455311.59526275,0.3132,5.457064152837234,33.2332805998472,43.803133146709115,474614.4496159755,3010.6172663991656,13197.327771457632,1415.5482148213773,24.718527640941417,2.2760718044366577,XRP
3,4,0.3255,0.3077,0.3132,54742403.27146265,0.3239,5.645060636022817,32.794686310936044,43.716610463078354,472531.1696620584,3009.419532702134,13189.168007411023,1414.1145260168269,23.55822386425833,2.50310155691135,XRP
4,5,0.3273,0.3052,0.3239,50436808.14616361,0.3095,5.818897165949446,32.41460988924024,43.52926311943529,470088.7035091901,3006.2059552881756,13172.650209504323,1414.1933399204877,22.300424192665556,2.697491226690342,XRP
5,6,0.3145,0.2995,0.3095,47430686.48606609,0.3115,5.9784590435313465,32.089570106757314,43.25436053164614,467338.626611579,3001.2129123232407,13148.734046156702,1415.6420264135343,20.96907498631635,2.8611906982318605,XRP
6,7,0.3142,0.3056,0.3115,45616198.557870544,0.3098,6.123631569682738,31.816085735484812,42.90517211557713,464332.51442343346,2994.676781973281,13118.379185787331,1418.3179553771417,19.58812260536397,2.9961498559941333,XRP
7,8,0.3219,0.3068,0.3098,44885504.62827743,0.3188,6.254300045317843,31.590675547420272,42.494967287094475,461121.9423989618,2986.8339424042465,13082.54529681538,1422.0784966924844,18.181513409961678,3.1043185844353873,XRP
8,9,0.3237,0.3154,0.3188,45130764.96398721,0.3199,6.370349771350884,31.409858314561234,42.03701546206439,457758.4859923725,2977.920771782088,13042.19204766002,1426.7810202407372,16.773193760262718,3.187646768013849,XRP
9,10,0.32,0.3118,0.3199,46244139.83170034,0.3164,6.471666048696083,31.270152808905237,41.544586056353104,454293.72065787384,2968.173648272757,12998.279106740423,1432.2828959030749,15.387110016420358,3.2480842911877463,XRP
10,11,0.3181,0.3094,0.3164,48117789.49811728,0.3115,6.55813417826766,31.16807780244982,41.030948485826826,450779.2218496743,2957.828950042204,12951.766142475759,1438.4414935606721,14.047208538587846,3.287581038415305,XRP
11,12,0.3178,0.3113,0.3115,50643874.2299385,0.3162,6.62963946097984,31.100152067192518,40.50937216635178,447266.5650219822,2947.123055256379,12903.612823285195,1445.114183094704,12.777435686918446,3.3080868941547537,XRP
12,13,0.3233,0.3123,0.3162,53714554.29386443,0.3194,6.686067197746842,31.06289437513087,39.993126513794195,443807.3256290059,2936.2923420812335,12854.778817587907,1452.1583343863447,11.601737821565413,3.311551742864318,XRP
13,14,0.3316,0.3194,0.3194,57221989.95659554,0.3217,6.72730268948289,31.052823498262423,39.49548094402027,440453.0791249538,2925.5731886827184,12806.223793803063,1459.4313173167693,10.544061302682,3.299925469002227,XRP
14,15,0.3246,0.3078,0.3217,62377809.00166541,0.3112,6.781249999999784,30.98473011978936,38.84924646190112,436027.2410714147,2910.861522347493,12739.754510061677,1469.5541580472207,9.260937499999702,3.204687499999898,XRP
15,16,0.3159,0.3072,0.3112,65802447.510669775,0.3111,6.781249999999785,30.90788631098512,38.54146295530332,433468.15937498625,2902.315274865194,12697.981715174683,1475.9770340782788,8.662499999999719,3.073437499999902,XRP
16,17,0.3116,0.304,0.3111,70268757.87571652,0.308,6.742187499999787,30.90127027034661,38.41313142691217,431203.2249999863,2895.8215563636945,12666.541490172936,1482.3124571118565,8.306249999999732,2.926562499999907,XRP
17,18,0.3086,0.2899,0.308,74148574.32452218,0.2961,6.664062499999789,30.98521889405493,38.39525028467057,429281.46249998634,2893.0398506163624,12651.321362522267,1485.5888636724817,8.226785714285446,2.795312499999911,XRP
18,19,0.3053,0.2911,0.2961,77822222.38157117,0.2986,6.546874999999792,31.10061172374558,38.41709120699215,427751.89642855787,2890.6071751729855,12634.155015563565,1489.4906284331803,8.45870535714258,2.710937499999913,XRP
19,20,0.3059,0.2952,0.2986,81387953.02159564,0.3029,6.390624999999797,31.238892933299574,38.51227139064121,426663.5513392721,2889.47525198791,12622.536990138058,1493.319330978346,9.036607142856852,2.999999999999905,XRP
20,21,0.3053,0.2979,0.3029,84690978.47626737,0.3005,6.313169642856942,31.397131715075304,38.66552518435764,426065.4517857008,2888.2313861301045,12609.033012389737,1497.6078071866236,9.995089285713965,3.289062499999895,XRP
21,22,0.301,0.2921,0.3005,84335177.00981651,0.2972,6.232366071428372,31.623287915756713,38.96696207182623,426006.62232141505,2889.9243073053804,12606.126473562656,1501.1632707595343,11.368749999999636,3.204687499999898,XRP
22,23,0.2978,0.2407,0.2972,84091525.1854884,0.2631,6.1504464285712315,31.761805727225383,39.253588751382935,426536.08749998646,2889.7971100942505,12600.33641858742,1504.7214601516243,13.192187499999578,3.073437499999902,XRP
23,24,0.2684,0.2455,0.2631,86112244.09659328,0.2642,6.069642857142663,31.873127198218278,39.586949635402235,427702.8718749864,2890.9375432149773,12598.424714878227,1508.6791158675667,15.499999999999506,2.926562499999907,XRP
24,25,0.2651,0.2548,0.2642,87549417.08784544,0.2612,5.992187499999808,31.952497724549087,39.984786581140334,429555.9999999863,2893.7164618354955,12600.250194004202,1510.8541362761966,16.49999999999947,2.795312499999911,XRP
25,26,0.2696,0.2586,0.2612,87735647.18899277,0.2658,5.92031249999981,31.960723133171278,40.32135404433396,429555.9999999863,2895.927072960897,12600.72235041987,1514.0282178333343,18.807812499999397,2.710937499999913,XRP
26,27,0.2923,0.2638,0.2658,85795517.52576736,0.2836,5.856249999999812,31.86743517986264,40.57068325195865,428421.99999998644,2896.44410531171,12594.22075238869,1516.1216318674963,20.631249999999344,2.999999999999905,XRP
27,28,0.2909,0.2762,0.2836,83743348.29410227,0.2823,5.743303571428386,31.721234282424454,40.80770779166774,427707.99999998644,2897.1887952531165,12589.925181797174,1517.3629264558579,22.004910714285018,3.289062499999895,XRP
28,29,0.2826,0.2699,0.2823,82495973.19125408,0.2743,5.624776785714104,31.49858027228187,41.008009707926405,427383.99999998644,2897.4882804869685,12586.212042235926,1516.5589329855297,22.963392857142125,3.204687499999898,XRP
29,30,0.2746,0.2581,0.2743,81133921.11804652,0.266,5.501785714285537,31.240461946809997,41.13189763511799,427419.99999998644,2894.5460025786433,12577.539459882068,1516.7687082290167,23.5412946428564,3.073437499999902,XRP
30,31,0.2746,0.2606,0.266,78137702.85818277,0.2711,5.375446428571256,30.93524539513149,41.146275293825745,427785.99999998644,2890.943168531053,12568.135109165338,1518.4289301463054,23.773214285713532,2.926562499999907,XRP
31,32,0.2787,0.268,0.2711,75159156.75709136,0.2775,5.246874999999831,30.783281131726376,41.25293224283496,428451.99999998644,2889.685017776397,12564.774120657385,1521.1619913918148,23.693749999999255,2.795312499999911,XRP
32,33,0.278,0.2645,0.2775,73256703.56476328,0.2721,5.074999999999837,30.735698585849867,41.400805625743914,429387.99999998644,2891.582626942134,12573.46212463339,1523.8761203765382,23.337499999999267,2.710937499999913,XRP
33,34,0.2764,0.2664,0.2721,70328447.61735044,0.2699,4.918749999999842,30.756149486557792,41.512441843746764,430563.9999999863,2893.743037686937,12583.30454472093,1525.6380640846853,22.73906249999928,2.999999999999905,XRP
34,35,0.2805,0.2669,0.2699,65612956.542357296,0.2702,4.837053571428417,30.848238824519804,41.635449716021704,431949.9999999863,2897.7992220741444,12599.26334751634,1527.3065927777484,21.933035714285015,3.289062499999895,XRP
35,36,0.2703,0.2649,0.2702,59797082.48011639,0.2695,4.788839285714133,30.967774584036924,41.70325042179519,433515.9999999862,2902.2145415713885,12617.540831647199,1528.547043337092,20.954017857142194,3.204687499999898,XRP
36,37,0.2696,0.2467,0.2695,53432637.79339115,0.2563,4.775223214285561,31.034988912513285,41.73882854751045,435231.9999999862,2904.7987702505006,12631.421999685701,1529.4830060685895,19.83660714285651,3.073437499999902,XRP
37,38,0.2624,0.2476,0.2563,57966608.265732534,0.2571,4.797321428571275,31.02252685427567,41.84052163873266,437067.9999999861,2908.8102219171965,12650.4323512482,1529.7287437710957,18.615401785713697,2.926562499999907,XRP
38,39,0.2574,0.2526,0.2571,58855962.524355255,0.2556,4.856249999999845,30.97375223977126,41.92414832711085,438993.9999999861,2911.5759398323216,12660.72500523118,1529.7308263233242,17.32499999999945,2.795312499999911,XRP
39,40,0.2607,0.2535,0.2556,58750825.89254501,0.2586,4.868749999999844,30.891600410852135,42.085667389629926,440979.999999986,2915.1126312254933,12674.533781432698,1529.8766999107968,15.999999999999488,2.710937499999913,XRP
40,41,0.2594,0.2513,0.2586,56814575.282817386,0.2569,4.9515624999998415,30.889093706010783,42.30003118855477,442995.99999998586,2921.363363156907,12703.19777374227,1528.9585983275877,14.674999999999532,2.999999999999905,XRP
41,42,0.265,0.2537,0.2569,50272519.6145341,0.2616,4.985714285714126,30.86722322148838,42.496348681618834,445011.99999998586,2928.210579899286,12737.803895568442,1528.0782839093406,13.384598214285287,3.289062499999895,XRP
42,43,0.2672,0.2584,0.2616,45069168.0634048,0.2632,5.05223214285698,30.881776823741063,42.689767737898144,446997.99999998574,2935.2729886190305,12774.26931544672,1526.2693978445382,12.163392857142465,3.204687499999898,XRP
43,44,0.2632,0.2567,0.2632,42074653.336404875,0.2589,5.147767857142693,30.860421985812565,42.981090729575826,448923.9999999856,2942.7480018069828,12812.921730913024,1524.1466548101757,11.045982142856786,3.073437499999902,XRP
44,45,0.2595,0.2538,0.2589,47725043.68089132,0.2565,5.268973214285545,30.85302462449997,43.32587699379102,450759.9999999856,2951.082888466877,12853.035911341663,1521.5115235191952,10.066964285713961,2.926562499999907,XRP
45,46,0.2594,0.2474,0.2565,55072854.76740446,0.2518,5.412499999999826,30.895303645729037,43.734109583921395,452475.9999999855,2961.514848491029,12900.138058907232,1517.355697958762,9.260937499999702,2.795312499999911,XRP
46,47,0.2636,0.2506,0.2518,60478753.7287793,0.2605,5.7015624999998185,30.917886194160026,44.08467863201955,454041.9999999855,2970.970357840307,12943.978665596684,1512.712172671679,8.662499999999719,2.710937499999913,XRP
47,48,0.2663,0.2566,0.2605,64850097.01905148,0.2627,5.9593749999998105,30.884924149512255,44.36924273116107,455427.9999999855,2977.5921721866207,12974.88790239565,1510.5526401791774,8.306249999999732,2.999999999999905,XRP
48,49,0.2647,0.2568,0.2627,62064218.585408695,0.2588,6.185937499999804,30.819444254891234,44.579389884640776,456603.9999999854,2982.3231921603756,13001.006928143768,1508.8281749452385,8.226785714285446,3.289062499999895,XRP
